VESSEL_NAME,VESSEL_NO,DIRECTION,NUM_BARGES,SOL_DATE,ARRIVAL_DATE,END_OF_LOCKAGE,TIMEZONE,MMSI,Unnamed: 0,DELAY_MINS,SEQ_NO
UNCLE NU (TOW),0624234,D,3,10/25/23 18:05,10/25/23 01:43,10/25/23 18:25,CST,367009460,,,
UNCLE NU (TOW),0624234,D,3,10/25/23 18:30,10/25/23 01:43,10/25/23 18:55,CST,367009460,,,
BOBBY JONES (TOW),0502672,D,3,10/25/23 17:25,10/25/23 01:37,10/25/23 18:00,CST,366919160,,,
GEORGE ROWE (TOW),0912893,U,2,10/25/23 19:51,10/24/23 20:46,10/25/23 20:00,CST,367014380,,,
GEORGE ROWE (TOW),0912893,U,2,10/25/23 20:05,10/24/23 20:46,10/25/23 20:15,CST,367014380,,,
LINDA HUGHES FARLEY,1273622,D,2,10/25/23 05:50,10/24/23 20:21,10/25/23 06:25,CST,368142010,,,
DODSON THORNTON,0266269,D,3,10/25/23 16:00,10/24/23 20:04,10/25/23 16:20,CST,368120610,,,
DODSON THORNTON,0266269,D,3,10/25/23 16:25,10/24/23 20:04,10/25/23 16:40,CST,368120610,,,
MISS CAROLINE (TOW 2014),1250509,D,2,10/25/23 03:10,10/24/23 19:46,10/25/23 03:35,CST,367610550,,,
TERRY H,1252433,D,2,10/25/23 02:40,10/24/23 17:48,10/25/23 03:05,CST,367614880,,,
ANITA EVE SHARP  (TOW 1985),0680357,D,3,10/25/23 00:45,10/24/23 17:43,10/25/23 00:55,CST,367057930,,,
ANITA EVE SHARP  (TOW 1985),0680357,D,3,10/25/23 01:00,10/24/23 17:43,10/25/23 01:10,CST,367057930,,,
JUDY S FRIED (TOW),1165345,U,2,10/25/23 16:40,10/24/23 16:35,10/25/23 17:25,CST,366997220,,,
SPINDLETOP (TOW 2011),1233372,D,2,10/25/23 01:15,10/24/23 14:03,10/25/23 01:35,CST,367496980,,,
EVERETT C (TOW 2018) 72X30,1281643,U,2,10/25/23 06:25,10/24/23 13:34,10/25/23 07:20,CST,368033820,,,
EVERARD DUPRE,1269035,D,2,10/24/23 23:55,10/24/23 12:37,10/25/23 00:40,CST,368097780,,,
REPOSE,1041355,U,3,10/25/23 04:41,10/24/23 11:24,10/25/23 05:00,CST,368286780,,,
REPOSE,1041355,U,3,10/25/23 05:05,10/24/23 11:24,10/25/23 05:20,CST,368286780,,,
HARRISON,1214850,D,2,10/24/23 23:25,10/24/23 09:14,10/24/23 23:50,CST,367374930,,,
CHARLIE C (TOW),0544273,U,3,10/25/23 01:51,10/24/23 08:59,10/25/23 02:20,CST,366961220,,,
CHARLIE C (TOW),0544273,U,3,10/25/23 02:25,10/24/23 08:59,10/25/23 02:40,CST,366961220,,,
CAPT ANDY LAKE (TOW),1239502,U,2,10/24/23 20:05,10/24/23 08:17,10/24/23 20:20,CST,367539810,,,
DAVID O (TOW),0637538,U,1,10/24/23 19:50,10/24/23 07:44,10/24/23 20:00,CST,368267890,,,
CITATION (TOW),1217083,U,3,10/24/23 18:46,10/24/23 07:43,10/24/23 19:25,CST,368213040,,,
CITATION (TOW),1217083,U,3,10/24/23 19:30,10/24/23 07:43,10/24/23 19:45,CST,368213040,,,
CHRISTIE LEE (TOW 2015) 84X32,1259956,U,2,10/24/23 18:05,10/24/23 03:04,10/24/23 18:25,CST,367677630,,,
BLESSED TRINITY (TOW),1216547,U,2,10/24/23 17:35,10/24/23 02:21,10/24/23 18:00,CST,367384020,,,
JOSEPH ALFRED DEVALL,1236564,D,3,10/24/23 17:20,10/24/23 00:26,10/24/23 17:35,CST,368250110,,,
T H KELLY (TOW),0693109,D,3,10/24/23 16:30,10/23/23 23:40,10/24/23 16:50,CST,367004910,,,
T H KELLY (TOW),0693109,D,2,10/24/23 16:55,10/23/23 23:40,10/24/23 17:05,CST,367004910,,,
T H KELLY (TOW),0693109,D,1,10/24/23 17:08,10/23/23 23:40,10/24/23 17:15,CST,367004910,,,
H J DUPRE (TOW),0532464,D,3,10/24/23 01:55,10/23/23 22:45,10/24/23 02:25,CST,367005580,,,
ROBERT G STONE JR (TOW),1189439,D,2,10/24/23 01:05,10/23/23 21:16,10/24/23 01:50,CST,367146780,,,
RICHARD B(TOW) 55X22,0568300,U,0,10/26/23 19:55,10/26/23 19:27,10/26/23 20:05,CST,367690950.0,,,
RICHARD B(TOW) 55X22,0568300,U,0,,10/26/23 19:27,,CST,367690950.0,,,
THERESA B (TOW),0561744,U,0,10/26/23 18:40,10/26/23 18:37,10/26/23 18:45,CST,367056060.0,,,
BOO SONIER (TOW 2012),1238039,D,2,,10/26/23 16:03,,CST,367524420.0,,,
AMAZING GRACE (TOW 1958),0277588,D,6,,10/26/23 16:01,,CST,367731330.0,,,
MAC ANDREW MCKINNEY (TOW),1234978,D,6,,10/26/23 16:00,,CST,367500460.0,,,
MISS PEYTON,0633411,U,6,,10/26/23 15:26,,CST,368028990.0,,,
REPOSE,1041355,D,6,,10/26/23 12:13,,CST,368286780.0,,,
PHILIP (TOW 1995),1033117,U,2,,10/26/23 11:28,,CST,367003780.0,,,
RICHARD  (TOW 2008),1212306,U,2,,10/26/23 11:20,,CST,367361740.0,,,
RICHARD B(55X22),5681300,U,0,10/26/23 11:00,10/26/23 10:52,10/26/23 11:10,CST,,,,
ADDISON FAITH,1308502,D,1,,10/26/23 09:44,,CST,368177590.0,,,
ST. MATTHIAS,1273328,U,6,,10/26/23 06:25,,CST,367757270.0,,,
CROSBY EXPRESS,0521797,U,0,10/26/23 05:55,10/26/23 05:22,10/26/23 06:10,CST,368115150.0,,,
REBOUND,0286204,U,6,,10/26/23 04:43,,CST,367306520.0,,,
ASPEN (TOW 2016) 75X34,1270614,U,2,,10/26/23 04:35,,CST,367762880.0,,,
RICHARD B(55X22),5681300,D,0,10/26/23 00:10,10/26/23 00:07,10/26/23 00:15,CST,,,,
RICHARD B(55X22),5681300,D,0,10/25/23 23:40,10/25/23 23:35,10/25/23 23:45,CST,,,,
THERESA B (TOW),0561744,D,0,10/25/23 23:10,10/25/23 23:08,10/25/23 23:15,CST,367056060.0,,,
THERESA B (TOW),0561744,D,0,10/25/23 22:50,10/25/23 22:36,10/25/23 22:55,CST,367056060.0,,,
 TOM CORNWELL  ,1307050,D,6,,10/25/23 22:12,,CST,368208250.0,,,
JOHN BOOZMAN (TOW 2011)81X30,1233875,D,2,,10/25/23 22:09,,CST,367493370.0,,,
ALLIE BROOKE DEVALL,1214852,D,3,10/26/23 18:45,10/25/23 22:05,10/26/23 19:25,CST,368259470.0,,,
INTRA RECOIL(TOW),0533346,D,2,,10/25/23 22:00,,CST,368193180.0,,,
