VESSEL_NAME,VESSEL_NO,DIRECTION,NUM_BARGES,SOL_DATE,ARRIVAL_DATE,END_OF_LOCKAGE,TIMEZONE,MMSI,Unnamed: 0,DELAY_MINS,SEQ_NO
ANITA EVE SHARP  (TOW 1985),680357,D,3,10/25/23 00:45,10/24/23 17:43,10/25/23 00:55,CST,367057930.0,53.0,,
JUDY S FRIED (TOW),1165345,U,2,10/25/23 16:40,10/24/23 16:35,10/25/23 17:25,CST,366997220.0,54.0,,
SPINDLETOP (TOW 2011),1233372,D,2,10/25/23 01:15,10/24/23 14:03,10/25/23 01:35,CST,367496980.0,55.0,,
EVERETT C (TOW 2018) 72X30,1281643,U,2,10/25/23 06:25,10/24/23 13:34,10/25/23 07:20,CST,368033820.0,56.0,,
EVERARD DUPRE,1269035,D,2,10/24/23 23:55,10/24/23 12:37,10/25/23 00:40,CST,368097780.0,57.0,,
REPOSE,1041355,U,3,10/25/23 04:41,10/24/23 11:24,10/25/23 05:00,CST,368286780.0,58.0,,
HARRISON,1214850,D,2,10/24/23 23:25,10/24/23 09:14,10/24/23 23:50,CST,367374930.0,59.0,,
CHARLIE C (TOW),544273,U,3,10/25/23 01:51,10/24/23 08:59,10/25/23 02:20,CST,366961220.0,60.0,,
CAPT ANDY LAKE (TOW),1239502,U,2,10/24/23 20:05,10/24/23 08:17,10/24/23 20:20,CST,367539810.0,61.0,,
DAVID O (TOW),637538,U,1,10/24/23 19:50,10/24/23 07:44,10/24/23 20:00,CST,368267890.0,62.0,,
CITATION (TOW),1217083,U,3,10/24/23 18:46,10/24/23 07:43,10/24/23 19:25,CST,368213040.0,63.0,,
CHRISTIE LEE (TOW 2015) 84X32,1259956,U,2,10/24/23 18:05,10/24/23 03:04,10/24/23 18:25,CST,367677630.0,64.0,,
BLESSED TRINITY (TOW),1216547,U,2,10/24/23 17:35,10/24/23 02:21,10/24/23 18:00,CST,367384020.0,65.0,,
JOSEPH ALFRED DEVALL,1236564,D,3,10/24/23 17:20,10/24/23 00:26,10/24/23 17:35,CST,368250110.0,66.0,,
T H KELLY (TOW),693109,D,3,10/24/23 16:30,10/23/23 23:40,10/24/23 16:50,CST,367004910.0,67.0,,
H J DUPRE (TOW),532464,D,3,10/24/23 01:55,10/23/23 22:45,10/24/23 02:25,CST,367005580.0,68.0,,
ROBERT G STONE JR (TOW),1189439,D,2,10/24/23 01:05,10/23/23 21:16,10/24/23 01:50,CST,367146780.0,69.0,,
SACRED HEART (TOW 73X28),1203067,D,3,10/24/23 00:15,10/23/23 20:17,10/24/23 00:45,CST,367189510.0,70.0,,
CHRISTIE LEE (TOW 2015) 84X32,1259956,U,2,,2023-10-24 03:04:00,,CST,,71.0,273.0,3
BLESSED TRINITY (TOW),1216547,U,2,,2023-10-24 02:21:00,,CST,,72.0,316.0,2
JOSEPH ALFRED DEVALL,1236564,D,3,,2023-10-24 00:26:00,,CST,,73.0,431.0,1
T H KELLY (TOW),693109,D,6,,2023-10-23 23:40:00,,CST,,74.0,477.0,0
H J DUPRE (TOW),532464,D,3,2023-10-24 01:55:00,2023-10-23 22:45:00,2023-10-24 02:25:00,CST,,75.0,190.0,-
ROBERT G STONE JR (TOW),1189439,D,2,2023-10-24 01:05:00,2023-10-23 21:16:00,2023-10-24 01:50:00,CST,,76.0,229.0,-
SACRED HEART (TOW 73X28),1203067,D,3,2023-10-24 00:15:00,2023-10-23 20:17:00,2023-10-24 00:45:00,CST,,77.0,0.0,-
ST. MATTHIAS,1273328,D,3,2023-10-23 23:25:00,2023-10-23 17:59:00,2023-10-23 23:40:00,CST,,78.0,0.0,-
MARK L DUPLANTIS,1209682,U,1,2023-10-23 21:20:00,2023-10-23 19:59:00,2023-10-23 21:40:00,CST,,79.0,0.0,-
RALPH RENFRO (TOW 2012) 84X32,1243956,D,2,2023-10-23 19:45:00,2023-10-23 13:39:00,2023-10-23 20:15:00,CST,,80.0,366.0,-
MIKE BECHTOLD,586008,U,3,2023-10-23 19:35:00,2023-10-23 10:00:00,2023-10-23 19:45:00,CST,,81.0,0.0,-
LAKE BORGNE,1243596,D,2,2023-10-23 18:15:00,2023-10-23 01:37:00,2023-10-23 18:50:00,CST,,82.0,998.0,-
GEORGE W BANTA (TOW),266928,U,2,2023-10-23 18:05:00,2023-10-23 01:08:00,2023-10-23 18:15:00,CST,,83.0,0.0,-
SETH D (TOW 1981) 61X26,634990,U,3,2023-10-23 16:55:00,2023-10-23 01:36:00,2023-10-23 17:05:00,CST,,84.0,0.0,-
AMBRE LYNN SETTOON,1170495,D,1,2023-10-23 16:20:00,2023-10-23 15:25:00,2023-10-23 16:25:00,CST,,85.0,55.0,-
THERESA B (TOW),561744,D,0,2023-10-23 16:06:00,2023-10-23 16:05:00,2023-10-23 16:15:00,CST,,86.0,1.0,-
GOSIER,1242385,U,1,2023-10-23 15:25:00,2023-10-23 00:17:00,2023-10-23 16:05:00,CST,,87.0,908.0,-
AMAZING GRACE (TOW 1958),277588,U,0,2023-10-23 15:15:00,2023-10-23 10:02:00,2023-10-23 15:20:00,CST,,88.0,313.0,-
RICHARD B(TOW) 55X22,568300,U,0,2023-10-23 07:19:00,2023-10-23 07:18:00,2023-10-23 07:40:00,CST,,89.0,1.0,-
RICHARD B(TOW) 55X22,568300,D,0,2023-10-23 06:25:00,2023-10-23 06:24:00,2023-10-23 06:35:00,CST,,90.0,0.0,-
THERESA B (TOW),561744,U,0,2023-10-23 01:12:00,2023-10-23 01:11:00,2023-10-23 01:25:00,CST,,91.0,1.0,-
RESPONDER,543900,D,3,2023-10-23 00:45:00,2023-10-22 22:50:00,2023-10-23 01:00:00,CST,,92.0,0.0,-
NICHOLAS VETO,1255027,D,1,2023-10-23 00:00:00,2023-10-22 22:49:00,2023-10-23 00:20:00,CST,,93.0,71.0,-
FREEDOM (TOW 76X28),505538,D,3,2023-10-22 23:35:00,2023-10-22 22:48:00,2023-10-22 23:55:00,CST,,94.0,0.0,-
DAHLI BROOKE,1248795,D,2,2023-10-22 22:48:00,2023-10-22 22:47:00,2023-10-22 23:10:00,CST,,95.0,1.0,-
BETH WILSON,1121373,D,2,2023-10-22 19:46:00,2023-10-22 19:45:00,2023-10-22 20:15:00,CST,,96.0,1.0,-
SANDPIPER (TOW 2011) 34X78,1237330,D,1,2023-10-22 18:53:00,2023-10-22 18:52:00,2023-10-22 19:15:00,CST,,97.0,1.0,-
HOUSTON FORET (TOW 1981) 57X24,633661,U,1,2023-10-22 16:35:00,2023-10-22 16:34:00,2023-10-22 17:20:00,CST,,98.0,1.0,-
AMMIE  (TOW 2010)95X30,1225687,U,2,2023-10-22 15:00:00,2023-10-22 14:48:00,2023-10-22 15:30:00,CST,,99.0,12.0,-
RICHARD B(55X22),5681300,D,0,2023-10-22 14:51:00,2023-10-22 14:50:00,2023-10-22 15:00:00,CST,,100.0,1.0,-
JOSSET   (TOW 56X23),1116940,U,4,2023-10-22 14:15:00,2023-10-22 13:29:00,2023-10-22 14:30:00,CST,,101.0,46.0,-
LUCY MAY,614508,U,3,2023-10-22 14:00:00,2023-10-22 12:28:00,2023-10-22 14:10:00,CST,,102.0,0.0,-
VINCENT W. SAPP (TOW),1238918,U,2,2023-10-22 12:55:00,2023-10-22 12:48:00,2023-10-22 13:10:00,CST,,103.0,7.0,-
RICHARD B(55X22),5681300,D,0,2023-10-22 12:43:00,2023-10-22 12:42:00,2023-10-22 12:55:00,CST,,104.0,1.0,-
MAC ANDREW MCKINNEY (TOW),1234978,U,3,2023-10-22 11:35:00,2023-10-22 03:47:00,2023-10-22 11:45:00,CST,,105.0,0.0,-
THERESA B (TOW),561744,D,0,2023-10-22 11:07:00,2023-10-22 11:06:00,2023-10-22 11:12:00,CST,,106.0,1.0,-
MISS KELLY (TOW 2009),1221425,D,2,2023-10-22 01:50:00,2023-10-22 00:43:00,2023-10-22 02:10:00,CST,,107.0,67.0,-
CAPTAIN RAPHAEL (TOW 1980),622432,D,2,2023-10-22 01:11:00,2023-10-22 00:33:00,2023-10-22 01:45:00,CST,,108.0,38.0,-
KEVIN ALLEN,1273624,D,2,2023-10-21 23:40:00,2023-10-21 23:31:00,2023-10-22 00:10:00,CST,,109.0,9.0,-
THERESA B (TOW),561744,U,0,2023-10-21 23:31:00,2023-10-21 23:30:00,2023-10-21 23:40:00,CST,,110.0,1.0,-
PORT MANSFIELD,1262416,D,2,2023-10-21 22:55:00,2023-10-21 22:09:00,2023-10-21 23:05:00,CST,,111.0,46.0,-
CITATION (TOW),1217083,D,3,2023-10-21 22:40:00,2023-10-21 18:40:00,2023-10-21 22:50:00,CST,,112.0,0.0,-
JOCK  (TOW 2000)  86X30,1101550,U,2,2023-10-21 21:06:00,2023-10-21 21:05:00,2023-10-21 22:20:00,CST,,113.0,1.0,-
RICHARD B(TOW) 55X22,568300,U,0,2023-10-21 20:15:00,2023-10-21 20:14:00,2023-10-21 20:20:00,CST,,114.0,1.0,-
LIV (TOW 2015) 72X30,1261486,D,2,2023-10-21 19:30:00,2023-10-21 16:12:00,2023-10-21 19:40:00,CST,,115.0,0.0,-
GRAYSON,1256561,D,2,2023-10-21 18:30:00,2023-10-21 16:46:00,2023-10-21 18:55:00,CST,,116.0,104.0,-
GOSPEL LIGHT (TOW),570130,U,3,2023-10-21 18:20:00,2023-10-21 16:08:00,2023-10-21 18:30:00,CST,,117.0,0.0,-
RED RIVER (TOW 2013) 78X34,1247072,D,2,2023-10-21 17:30:00,2023-10-21 14:57:00,2023-10-21 18:00:00,CST,,118.0,153.0,-
ENDURANCE (TOW 2011)81X30,1232349,D,2,2023-10-21 16:50:00,2023-10-21 14:56:00,2023-10-21 17:25:00,CST,,119.0,114.0,-
THERESA B (TOW),561744,D,0,2023-10-21 16:40:00,2023-10-21 16:40:00,2023-10-21 16:45:00,CST,,120.0,0.0,-
WAYNE BETHEL (TOW 2015) 84X32,1260560,U,2,2023-10-21 16:11:00,2023-10-21 14:09:00,2023-10-21 16:40:00,CST,,121.0,122.0,-
REPOSE,1041355,D,3,2023-10-21 14:20:00,2023-10-20 22:56:00,2023-10-21 14:30:00,CST,,122.0,0.0,-
PONTCHARTRAIN,1259051,D,2,2023-10-21 13:30:00,2023-10-21 08:26:00,2023-10-21 14:00:00,CST,,123.0,304.0,-
JOSSET   (TOW 56X23),1116940,D,0,,2023-10-12 05:17:00,,CST,,124.0,110.0,
MACK AMON,1279906,D,2,,2023-10-12 00:30:00,,CST,,125.0,397.0,3
MIKE MITCHELL,624349,U,6,,2023-10-11 17:49:00,,CST,,126.0,798.0,2
DODSON THORNTON,266269,U,3,2023-10-12 06:00:00,2023-10-11 16:20:00,2023-10-12 06:15:00,CST,,127.0,0.0,-
M/V TEXAS CITY,1189892,U,2,2023-10-12 04:40:00,2023-10-11 21:19:00,2023-10-12 05:15:00,CST,,128.0,441.0,-
ALEX D,1231404,U,2,2023-10-12 04:20:00,2023-10-11 16:22:00,2023-10-12 04:35:00,CST,,129.0,718.0,-
ALYS,1233341,U,2,2023-10-12 03:45:00,2023-10-11 14:55:00,2023-10-12 04:15:00,CST,,130.0,770.0,-
RICHARD B(TOW) 55X22,568300,D,0,2023-10-12 03:35:00,2023-10-12 03:34:00,2023-10-12 03:45:00,CST,,131.0,1.0,-
MARIE  (TOW 2005),1171260,U,2,2023-10-12 02:55:00,2023-10-11 13:10:00,2023-10-12 03:35:00,CST,,132.0,825.0,-
BORN AGAIN (TOW),562776,U,3,2023-10-12 02:40:00,2023-10-11 10:50:00,2023-10-12 02:50:00,CST,,133.0,0.0,-
LUCAS PAUL DEVALL (TOW 2017),1277619,U,2,2023-10-12 02:00:00,2023-10-11 03:20:00,2023-10-12 02:20:00,CST,,134.0,1360.0,-
MISS CAROLINE (TOW 2014),1250509,U,2,2023-10-12 01:20:00,2023-10-10 23:26:00,2023-10-12 02:00:00,CST,,135.0,1554.0,-
THERESA B (TOW),561744,D,0,2023-10-12 01:10:00,2023-10-12 01:08:00,2023-10-12 01:20:00,CST,,136.0,2.0,-
KENNY SHAVER,1294499,U,2,2023-10-11 23:35:00,2023-10-10 20:49:00,2023-10-12 01:10:00,CST,,137.0,1606.0,-
RANDOLPH C,1261475,D,4,2023-10-11 23:15:00,2023-10-11 07:05:00,2023-10-11 23:35:00,CST,,138.0,970.0,-
LESLIE (TOW 73X31),1218576,D,3,2023-10-11 23:00:00,2023-10-11 11:33:00,2023-10-11 23:10:00,CST,,139.0,0.0,-
LYNN R (TOW),625663,U,3,2023-10-11 21:25:00,2023-10-10 19:37:00,2023-10-11 21:40:00,CST,,140.0,1548.0,-
BLUE DIAMOND,565688,U,2,2023-10-11 19:55:00,2023-10-10 19:37:00,2023-10-11 21:20:00,CST,,141.0,1458.0,-
JOEL SMITH (TOW),984928,D,1,2023-10-11 19:40:00,2023-10-11 10:43:00,2023-10-11 19:55:00,CST,,142.0,537.0,-
MISS KIMBERLY,1333893,D,2,2023-10-11 18:00:00,2023-10-11 08:53:00,2023-10-11 19:35:00,CST,,143.0,547.0,-
CROSBY GENERAL (TOW 1980),625205,U,1,2023-10-11 17:20:00,2023-10-11 00:12:00,2023-10-11 18:00:00,CST,,144.0,1028.0,-
ALLIE BROOKE DEVALL,1214852,D,2,2023-10-11 16:25:00,2023-10-11 04:54:00,2023-10-11 17:20:00,CST,,145.0,691.0,-
LADY OF PROMPT SUCCOR (TOW),1155422,D,3,2023-10-11 16:15:00,2023-10-11 01:54:00,2023-10-11 16:20:00,CST,,146.0,0.0,-
RICHARD B(55X22),5681300,U,0,2023-10-11 15:38:00,2023-10-11 15:37:00,2023-10-11 15:50:00,CST,,147.0,1.0,-
CHARLIE C (TOW),544273,D,3,2023-10-11 15:00:00,2023-10-10 22:34:00,2023-10-11 15:05:00,CST,,148.0,0.0,-
LONNIE M BELL (TOW),553742,D,2,2023-10-11 14:20:00,2023-10-11 03:25:00,2023-10-11 14:40:00,CST,,149.0,655.0,-
HENRY J SOUDELIER III ( TOW ),1195775,U,2,2023-10-11 05:30:00,2023-10-10 20:34:00,2023-10-11 06:05:00,CST,,150.0,536.0,-
THERESA B (TOW),561744,D,0,2023-10-11 05:28:00,2023-10-11 05:27:00,2023-10-11 05:30:00,CST,,151.0,1.0,-
LAVACA (TOW 2013) 85X35,1249710,D,0,2023-10-11 05:15:00,2023-10-11 05:01:00,2023-10-11 05:20:00,CST,,152.0,14.0,-
ALMA GRACE,1321735,U,2,2023-10-11 05:00:00,2023-10-10 17:41:00,2023-10-11 05:15:00,CST,,153.0,679.0,-
LAFITTE,1242386,U,2,2023-10-11 04:25:00,2023-10-10 15:54:00,2023-10-11 04:55:00,CST,,154.0,751.0,-
RIO GRANDE,1248275,U,2,2023-10-11 03:50:00,2023-10-10 15:49:00,2023-10-11 04:20:00,CST,,155.0,721.0,-
KATIE GONSOULIN (TOW),1191866,U,2,2023-10-11 03:20:00,2023-10-10 15:22:00,2023-10-11 03:45:00,CST,,156.0,718.0,-
MISS CATHERINE ,1301428,U,2,2023-10-11 02:55:00,2023-10-10 10:21:00,2023-10-11 03:15:00,CST,,157.0,994.0,-
KARL SENNER ,1244550,U,3,2023-10-11 02:20:00,2023-10-10 03:14:00,2023-10-11 02:50:00,CST,,158.0,1386.0,-
MISS GABRIELLA,1265914,U,2,2023-10-11 01:55:00,2023-10-10 01:33:00,2023-10-11 02:15:00,CST,,159.0,1462.0,-
EMILY WEBBER,1276027,U,2,2023-10-11 01:30:00,2023-10-09 22:10:00,2023-10-11 01:50:00,CST,,160.0,1640.0,-
RICHARD B(TOW) 55X22,568300,D,0,2023-10-11 01:23:00,2023-10-11 01:05:00,2023-10-11 01:30:00,CST,,161.0,18.0,-
INTRA RECOIL(TOW),533346,U,2,2023-10-11 01:00:00,2023-10-09 21:28:00,2023-10-11 01:23:00,CST,,162.0,1652.0,-
AMERICAN LIFE (TOW 2016) 76X34,1268290,U,2,2023-10-11 00:35:00,2023-10-09 21:55:00,2023-10-11 00:55:00,CST,,163.0,1600.0,-
BOBBY JONES (TOW),502672,U,1,2023-10-11 00:10:00,2023-10-09 20:20:00,2023-10-11 00:30:00,CST,,164.0,1670.0,-
INNOVATOR (TOW 2003),1141274,U,1,2023-10-10 23:50:00,2023-10-09 20:15:00,2023-10-11 00:05:00,CST,,165.0,1655.0,-
DANNY OCKMAN,644041,U,3,2023-10-10 23:30:00,2023-10-09 19:50:00,2023-10-10 23:45:00,CST,,166.0,0.0,-
GOVERNOR MIKE HUCKABEE 80X30,1236450,D,2,2023-10-10 22:05:00,2023-10-10 14:50:00,2023-10-10 22:35:00,CST,,167.0,435.0,-
CHAD DOUGLAS,1304256,D,2,2023-10-10 21:45:00,2023-10-10 10:30:00,2023-10-10 22:00:00,CST,,168.0,675.0,-
ST CHARLES (TOW)76X35,1230767,D,3,2023-10-10 21:05:00,2023-10-10 10:13:00,2023-10-10 21:40:00,CST,,169.0,652.0,-
STEVE RICHOUX (TOW),568988,D,3,2023-10-10 20:00:00,2023-10-10 09:30:00,2023-10-10 21:00:00,CST,,170.0,630.0,-
DUKE,1247420,D,3,2023-10-10 19:35:00,2023-10-10 00:48:00,2023-10-10 19:55:00,CST,,171.0,1127.0,-
MICHELLE GOLDING,1258033,D,2,2023-10-10 18:30:00,2023-10-09 21:54:00,2023-10-10 19:30:00,CST,,172.0,1236.0,-
CAPT RICKY TORRES (TOW 2016),1268710,U,2,2023-10-10 18:00:00,2023-10-09 19:35:00,2023-10-10 18:30:00,CST,,173.0,1345.0,-
BOLD VENTURE,1301090,U,2,2023-10-10 17:50:00,2023-10-09 19:03:00,2023-10-10 17:55:00,CST,,174.0,0.0,-
THERESA B (TOW),561744,D,0,2023-10-10 17:25:00,2023-10-10 17:24:00,2023-10-10 17:30:00,CST,,175.0,1.0,-
CAROLE L BRENT,1195776,U,2,2023-10-10 17:10:00,2023-10-09 18:13:00,2023-10-10 17:25:00,CST,,176.0,1377.0,-
THERESA B (TOW),561744,D,0,2023-10-10 17:00:00,2023-10-10 16:58:00,2023-10-10 17:10:00,CST,,177.0,0.0,-
ALPHA DOUCET,1237048,U,2,2023-10-10 16:20:00,2023-10-09 17:57:00,2023-10-10 17:00:00,CST,,178.0,1343.0,-
LAURA ELIZABETH (TOW),501262,D,2,2023-10-10 15:45:00,2023-10-09 20:31:00,2023-10-10 16:20:00,CST,,179.0,1154.0,-
ASPEN (TOW 2016) 75X34,1270614,D,2,2023-10-10 15:20:00,2023-10-09 20:32:00,2023-10-10 15:40:00,CST,,180.0,1128.0,-
DRUM BAY,1238759,U,2,2023-10-10 15:10:00,2023-10-09 17:11:00,2023-10-10 15:20:00,CST,,181.0,1319.0,-
SOUTHERN BELLE  (TOW),516701,U,3,2023-10-10 07:10:00,2023-10-09 14:44:00,2023-10-10 07:30:00,CST,,182.0,0.0,-
BETSY BLESSEY,1109349,U,2,2023-10-10 06:00:00,2023-10-09 13:39:00,2023-10-10 06:15:00,CST,,183.0,981.0,-
REBOUND,286204,U,3,2023-10-10 04:45:00,2023-10-09 10:09:00,2023-10-10 04:55:00,CST,,184.0,0.0,-
THERESA B (TOW),561744,D,0,2023-10-10 04:00:00,2023-10-10 03:47:00,2023-10-10 04:05:00,CST,,185.0,13.0,-
BROOKE BANTA 75X30,1233112,U,2,2023-10-10 03:15:00,2023-10-09 11:37:00,2023-10-10 04:00:00,CST,,186.0,938.0,-
NICK LONNEMANN,1266535,U,2,2023-10-10 02:50:00,2023-10-09 10:06:00,2023-10-10 03:10:00,CST,,187.0,1004.0,-
CALIFORNIA CHROME (TOW 2019),1292966,U,1,2023-10-10 02:35:00,2023-10-09 09:59:00,2023-10-10 02:45:00,CST,,188.0,0.0,-
THERESA B (TOW),561744,D,0,2023-10-10 01:30:00,2023-10-10 01:29:00,2023-10-10 01:35:00,CST,,189.0,1.0,-
CHARLIE C (TOW),544273,U,2,2023-10-10 01:05:00,2023-10-09 09:04:00,2023-10-10 01:15:00,CST,,190.0,0.0,-
THERESA B (TOW),561744,D,0,2023-10-10 00:33:00,2023-10-10 00:12:00,2023-10-10 00:40:00,CST,,191.0,21.0,-
COUNT FLEET,1294853,U,4,2023-10-10 00:15:00,2023-10-09 09:02:00,2023-10-10 00:33:00,CST,,192.0,913.0,-
MISS PEYTON,633411,U,2,2023-10-09 23:35:00,2023-10-09 06:52:00,2023-10-10 00:10:00,CST,,193.0,1003.0,-
THERESA B (TOW),561744,D,0,2023-10-09 23:29:00,2023-10-09 23:14:00,2023-10-09 23:35:00,CST,,194.0,0.0,-
JOSSET   (TOW 56X23),1116940,U,3,2023-10-09 23:20:00,2023-10-09 09:00:00,2023-10-09 23:29:00,CST,,195.0,0.0,-
GREGORY P FRAZIER (TOW),552463,U,1,2023-10-09 22:35:00,2023-10-09 04:40:00,2023-10-09 22:50:00,CST,,196.0,1075.0,-
SARAH D (TOW),1167754,U,2,2023-10-09 22:20:00,2023-10-09 04:01:00,2023-10-09 22:30:00,CST,,197.0,0.0,-
CROSBY TIDE ,1078379,U,0,2023-10-09 21:40:00,2023-10-09 20:59:00,2023-10-09 21:55:00,CST,,198.0,41.0,-
CAPTAIN EARL DEVALL (TOW)2005,1167310,D,2,2023-10-09 21:15:00,2023-10-09 08:58:00,2023-10-09 21:40:00,CST,,199.0,737.0,-
AMERICAN RELIANCE (TOW 2016),1270208,D,2,2023-10-09 20:35:00,2023-10-09 06:59:00,2023-10-09 21:10:00,CST,,200.0,816.0,-
STEVE RICHOUX (TOW),568988,U,3,2023-10-09 20:10:00,2023-10-09 03:57:00,2023-10-09 20:35:00,CST,,201.0,0.0,-
DANIEL WISNER (85X30),1301802,D,2,2023-10-09 18:20:00,2023-10-09 06:56:00,2023-10-09 19:00:00,CST,,202.0,684.0,-
WILLIAM  (TOW 2009) 70X30,1222437,D,2,2023-10-09 18:00:00,2023-10-09 05:57:00,2023-10-09 18:15:00,CST,,203.0,723.0,-
RICHARD B(TOW) 55X22,568300,D,0,2023-10-09 17:48:00,2023-10-09 17:47:00,2023-10-09 17:55:00,CST,,204.0,1.0,-
JEFF KINDL (TOW 2016) 86X35,1266571,U,3,2023-10-09 17:15:00,2023-10-09 00:05:00,2023-10-09 17:25:00,CST,,205.0,0.0,-
AL CENAC,1316302,D,3,2023-10-09 16:10:00,2023-10-08 23:56:00,2023-10-09 16:30:00,CST,,206.0,974.0,-
RODNEY HAGEBOLS,1325577,D,2,2023-10-09 15:40:00,2023-10-09 01:01:00,2023-10-09 16:05:00,CST,,207.0,879.0,-
INTRA RECOIL(TOW),0533346,D,2,,2023-09-22 05:14:00,,CST,,208.0,129.0,3
WOOD RIVER (TOW 2012),1233527,U,2,,2023-09-22 02:11:00,,CST,,209.0,312.0,1
PARKER JAMES (TOW 72' X 30'),1276020,U,6,,2023-09-21 10:27:00,,CST,,210.0,1256.0,2
MICHELLE GOLDING,1258033,U,2,2023-09-22 06:35:00,2023-09-22 00:21:00,2023-09-22 06:55:00,CST,,211.0,374.0,-
M/V LILLIAN LOUISE,1267422,U,3,2023-09-22 06:13:00,2023-09-21 21:51:00,2023-09-22 06:30:00,CST,,212.0,502.0,-
TIM TAUZIN (TOW 52X20),1048911,U,1,2023-09-22 06:07:00,2023-09-22 06:04:00,2023-09-22 06:08:00,CST,,213.0,3.0,-
CAPTAIN CAVIAR (PASS),LA5944G,D,0,2023-09-22 06:02:00,2023-09-22 06:01:00,2023-09-22 06:07:00,CST,,214.0,1.0,-
GOSPEL LIGHT (TOW),0570130,U,3,2023-09-22 05:25:00,2023-09-21 21:02:00,2023-09-22 05:40:00,CST,,215.0,0.0,-
ANITA EVE SHARP  (TOW 1985),0680357,D,3,2023-09-22 04:05:00,2023-09-21 19:44:00,2023-09-22 04:25:00,CST,,216.0,0.0,-
MARIE  (TOW 2005),1171260,D,2,2023-09-22 02:55:00,2023-09-21 13:15:00,2023-09-22 03:15:00,CST,,217.0,820.0,-
REBOUND,0286204,D,3,2023-09-22 02:40:00,2023-09-21 06:50:00,2023-09-22 02:50:00,CST,,218.0,0.0,-
PHILIP (TOW 1995),1033117,D,2,2023-09-22 01:40:00,2023-09-21 12:00:00,2023-09-22 01:50:00,CST,,219.0,820.0,-
COUNT FLEET,1294853,D,3,2023-09-22 01:25:00,2023-09-21 13:20:00,2023-09-22 01:35:00,CST,,220.0,0.0,-
JOSSET   (TOW 56X23),1116940,D,3,2023-09-22 00:06:00,2023-09-21 18:25:00,2023-09-22 01:05:00,CST,,221.0,341.0,-
CSS SHENANDOAH (TOW 2019),1300154,U,3,2023-09-21 21:40:00,2023-09-21 03:28:00,2023-09-21 22:00:00,CST,,222.0,1092.0,-
TIM SCOTT,1253090,U,2,2023-09-21 21:20:00,2023-09-21 00:48:00,2023-09-21 21:35:00,CST,,223.0,1232.0,-
EUGENIE J HUGER (TOW 2012),1242009,U,3,2023-09-21 21:00:00,2023-09-21 00:20:00,2023-09-21 21:15:00,CST,,224.0,0.0,-
MON TA (TOW 70X24) 2012,1237633,U,3,2023-09-21 19:45:00,2023-09-20 21:48:00,2023-09-21 20:00:00,CST,,225.0,0.0,-
DRUE ARAMISE,1307051,U,3,2023-09-21 18:50:00,2023-09-20 21:43:00,2023-09-21 19:10:00,CST,,226.0,1267.0,-
NICHOLAS (TOW 2014) 65X28,1251897,U,0,2023-09-21 18:40:00,2023-09-21 15:09:00,2023-09-21 18:45:00,CST,,227.0,211.0,-
NICEVILLE (TOW 76X35 2009),1221092,D,2,2023-09-21 18:05:00,2023-09-20 23:16:00,2023-09-21 18:35:00,CST,,228.0,1129.0,-
AMERICAN CENTURY (TOW 2015),1261315,D,2,2023-09-21 17:45:00,2023-09-21 05:30:00,2023-09-21 18:00:00,CST,,229.0,735.0,-
RICHARD B(55X22),5681300,U,0,2023-09-21 07:14:00,2023-09-21 07:13:00,2023-09-21 07:20:00,CST,,230.0,1.0,-
RANDY ECKSTEIN (TOW),1164181,D,3,2023-09-21 06:35:00,2023-09-20 22:02:00,2023-09-21 06:45:00,CST,,231.0,0.0,-
REPOSE,1041355,U,5,2023-09-21 05:00:00,2023-09-20 16:39:00,2023-09-21 05:15:00,CST,,232.0,0.0,-
GOOD SHEPHERD ( TOW ),1209074,D,2,2023-09-21 04:00:00,2023-09-20 20:38:00,2023-09-21 04:30:00,CST,,233.0,442.0,-
AL CENAC,1316302,U,3,2023-09-21 02:55:00,2023-09-20 15:18:00,2023-09-21 03:25:00,CST,,234.0,697.0,-
ROBERT ANTHONY ( TOW 2014),1256311,D,2,2023-09-21 02:45:00,2023-09-20 19:56:00,2023-09-21 02:55:00,CST,,235.0,409.0,-
AMERICAN STRONG (TOW 2016),1272102,D,2,2023-09-21 02:30:00,2023-09-20 18:03:00,2023-09-21 02:40:00,CST,,236.0,507.0,-
RESPONDER,0543900,D,3,2023-09-21 02:15:00,2023-09-20 17:39:00,2023-09-21 02:25:00,CST,,237.0,0.0,-
ERIC BUNCE (TOW 2011),1230374,D,1,2023-09-21 01:45:00,2023-09-20 18:02:00,2023-09-21 01:55:00,CST,,238.0,463.0,-
LAURA M,1315595,D,2,2023-09-21 01:00:00,2023-09-20 14:31:00,2023-09-21 01:40:00,CST,,239.0,629.0,-
BRONCO,1327838,U,2,2023-09-20 23:35:00,2023-09-20 07:00:00,2023-09-20 23:50:00,CST,,240.0,995.0,-
KYLE SMITH,1308580,U,3,2023-09-20 22:00:00,2023-09-20 12:15:00,2023-09-20 22:35:00,CST,,241.0,585.0,-
CANVASBACK,1237722,U,2,2023-09-20 21:30:00,2023-09-20 07:46:00,2023-09-20 21:55:00,CST,,242.0,824.0,-
SOUTHERN BELLE  (TOW),0516701,U,3,2023-09-20 21:15:00,2023-09-20 04:38:00,2023-09-20 21:25:00,CST,,243.0,0.0,-
