VESSEL_NAME,VESSEL_NO,DIRECTION,NUM_BARGES,ARRIVAL_DATE,TIMEZONE,MMSI,SOL_DATE,END_OF_LOCKAGE,Unnamed: 0,DELAY_MINS,SEQ_NO
H J DUPRE (TOW),0532464,D,3,10/25/23 02:41,CST,367005580,10/25/23 15:50,10/25/23 16:20,,,
JEFFREY GRANT,1253473,D,1,10/25/23 00:59,CST,367627470,10/25/23 01:45,10/25/23 02:23,,,
ROBERT G STONE JR (TOW),1189439,D,2,10/25/23 00:56,CST,367146780,10/25/23 14:00,10/25/23 14:35,,,
BETH WILSON,1121373,D,2,10/25/23 00:49,CST,366842960,10/25/23 12:00,10/25/23 13:00,,,
TOM HENDERSON,1315976,U,2,10/25/23 00:30,CST,,10/25/23 02:40,10/25/23 03:08,,,
AMERICAN CENTURY (TOW 2015),1261315,D,3,10/24/23 23:54,CST,367685130,10/25/23 10:30,10/25/23 11:10,,,
RALPH RENFRO (TOW 2012) 84X32,1243956,D,2,10/24/23 23:20,CST,367556020,10/25/23 08:00,10/25/23 09:05,,,
JERIS AUTHEMENT,1252182,D,2,10/24/23 20:49,CST,367614940,10/25/23 05:47,10/25/23 06:13,,,
LAKE BORGNE,1243596,D,2,10/24/23 20:12,CST,367597250,10/25/23 03:37,10/25/23 04:06,,,
CLELAND POWELL (TOW 2009),1223818,D,2,10/24/23 19:23,CST,367431550,10/25/23 01:57,10/25/23 02:28,,,
PECAN ISLAND,1243601,D,2,10/24/23 19:21,CST,367637490,10/25/23 00:05,10/25/23 00:28,,,
MISS KELLY (TOW 2009),1221425,U,1,10/24/23 18:20,CST,367427270,10/25/23 01:09,10/25/23 01:31,,,
MACK AMON,1279906,U,2,10/24/23 16:38,CST,368237350,10/24/23 23:06,10/24/23 23:29,,,
WILSEY DUPRE (TOW 2010),1224664,D,2,10/24/23 16:06,CST,367443060,10/24/23 22:04,10/24/23 22:26,,,
CAPT NILES SHOEMAKER,1239879,U,2,10/24/23 15:11,CST,367534680,10/24/23 20:58,10/24/23 21:23,,,
GRAND ISLE(72X30),1243597,U,1,10/24/23 15:08,CST,368141380,10/24/23 17:09,10/24/23 17:44,,,
SMOKIN JOE (FISH) 39X16,0553206,U,0,10/24/23 14:39,CST,,10/24/23 15:09,10/24/23 15:33,,,
NATHAN GOLDING (TOW),1199250,D,2,10/24/23 13:33,CST,367301010,10/24/23 20:16,10/24/23 20:39,,,
JENNIFER MITCH (FISH),0945239,D,0,10/24/23 12:53,CST,,10/24/23 13:50,10/24/23 14:02,,,
C J BOYNE (TOW),1102627,U,1,10/24/23 12:38,CST,367005270,10/24/23 14:09,10/24/23 14:39,,,
ENTERPRISE,1247595,D,2,10/24/23 12:22,CST,367579920,10/24/23 18:27,10/24/23 18:50,,,
STEVEN M BRYAN (2010) 86X32,1223817,U,2,10/24/23 12:14,CST,367430050,10/24/23 19:18,10/24/23 19:42,,,
RIVER DIAMOND (TOW),0609370,U,0,10/24/23 12:00,CST,368073490,10/24/23 12:20,10/24/23 13:10,,,
RISEN SAVIOUR (TOW),1191228,U,5,10/24/23 11:58,CST,367444740,10/24/23 17:17,10/24/23 17:48,,,
BLUE DIAMOND,0565688,D,1,10/24/23 11:57,CST,367086370,10/24/23 15:46,10/24/23 16:24,,,
SWEET LAKE,1243599,D,2,10/24/23 11:57,CST,367622960,10/24/23 15:55,10/24/23 16:26,,,
LADY FLO (FISH),0909372,D,0,10/24/23 11:40,CST,,10/24/23 11:51,10/24/23 12:04,,,
JESUS SAVES (TOW),0534836,U,6,10/24/23 09:37,CST,367000960,10/24/23 14:59,10/24/23 15:37,,,
PECAN ISLAND,1243601,U,2,10/24/23 09:33,CST,367637490,10/24/23 14:16,10/24/23 14:41,,,
FREEDOM (TOW),0287518,D,6,10/24/23 08:17,CST,367526590,10/24/23 11:25,10/24/23 11:50,,,
CAPT. KIRK COLLETTI,1213534,U,2,10/24/23 04:49,CST,367505080,10/24/23 13:23,10/24/23 13:45,,,
RANDY J ADAMS (TOW 2013),1244042,U,2,10/24/23 04:44,CST,367555480,10/24/23 12:42,10/24/23 13:12,,,
FATHER PAT (TOW 2011) 76X35,1237423,D,2,10/24/23 02:51,CST,367519320,10/24/23 10:58,10/24/23 11:24,,,
C J BOYNE (TOW),1102627,D,0,10/24/23 02:07,CST,367005270,10/24/23 03:32,10/24/23 04:14,,,
DELACROIX,1256869,U,1,10/23/23 23:58,CST,368136920,10/24/23 02:45,10/24/23 03:20,,,
CLELAND POWELL (TOW 2009),1223818,U,2,10/23/23 23:56,CST,367431550,10/24/23 09:54,10/24/23 10:20,,,
LUBBOCK,1260379,U,2,10/23/23 23:25,CST,368136890,10/24/23 09:10,10/24/23 09:36,,,
JEFF KINDL (TOW 2016) 86X35,1266571,U,8,10/23/23 23:09,CST,367711840,10/24/23 08:35,10/24/23 09:00,,,
JUDY S FRIED (TOW),1165345,U,2,10/23/23 21:36,CST,366997220,10/24/23 00:41,10/24/23 01:11,,,
RANDOLPH C,1261475,D,6,10/23/23 19:11,CST,367679550,10/24/23 04:32,10/24/23 04:59,,,
FLORENCE DAVIS,1280394,U,2,10/23/23 17:02,CST,368330600,10/24/23 07:49,10/24/23 08:20,,,
SANDRA LEE,1259133,U,3,10/23/23 17:01,CST,367663440,10/24/23 06:12,10/24/23 06:46,,,
MISS CATHERINE ,1301428,D,2,10/23/23 16:44,CST,368133590,10/24/23 03:48,10/24/23 04:20,,,
PAT CENAC,1303152,U,6,10/23/23 16:06,CST,368175520,10/24/23 07:12,10/24/23 07:42,,,
MARTIN CHALLENGER (TOW),1051672,U,2,10/23/23 15:53,CST,366874920,10/24/23 02:10,10/24/23 03:11,,,
SAINT CHARLES (TOW 2009),1223316,U,2,10/23/23 15:11,CST,367430030,10/24/23 01:32,10/24/23 01:58,,,
ALYS,1233341,U,2,10/23/23 14:22,CST,368272520,10/24/23 00:30,10/24/23 01:05,,,
TERRY H,1252433,D,2,10/26/23 19:34,CST,367614880.0,,,,,
ST CHARLES (TOW)76X35,1230767,D,3,10/26/23 17:14,CST,367473550.0,,,,,
COCODRIE,1259043,U,2,10/26/23 17:00,CST,367695890.0,,,,,
ELLY LANE (TOW),0560594,U,2,10/26/23 16:37,CST,367456810.0,,,,,
T H KELLY (TOW),0693109,D,5,10/26/23 16:23,CST,367004910.0,,,,,
BOBBY JONES (TOW),0502672,D,3,10/26/23 15:12,CST,366919160.0,,,,,
