VESSEL_NAME,VESSEL_NO,DIRECTION,NUM_BARGES,ARRIVAL_DATE,TIMEZONE,MMSI,SOL_DATE,END_OF_LOCKAGE,Unnamed: 0,DELAY_MINS,SEQ_NO
RANDY ECKSTEIN (TOW 153X45),0539889,D,6,10/29/23 04:37,CST,365922894.0,10/31/23 06:10,10/31/23 07:05,,,
MISSION (TOW 84X32) 2012,1240072,D,2,10/29/23 03:00,CST,367533930.0,10/30/23 18:30,10/30/23 19:10,,,
MIKE MITCHELL,0624349,D,6,10/29/23 02:44,CST,368144320.0,10/30/23 17:09,10/30/23 17:59,,,
LAURA M,1315595,D,2,10/28/23 22:14,CST,368201570.0,10/30/23 11:02,10/30/23 11:56,,,
KENNY BILLIOT (TOW 2013),1244012,D,1,10/28/23 21:45,CST,367556670.0,10/28/23 23:35,10/29/23 01:14,,,
MICHELE GONSOULIN ( TOW ),1194788,D,2,10/28/23 20:43,CST,367303080.0,10/30/23 09:33,10/30/23 10:20,,,
GRAYSON,1256561,U,2,10/28/23 20:16,CST,368097590.0,10/29/23 19:25,10/29/23 20:24,,,
GOVERNOR MIKE HUCKABEE 80X30,1236450,D,2,10/28/23 19:44,CST,367508430.0,10/30/23 08:09,10/30/23 09:00,,,
DENNIS ROSS (TOW),0544705,D,3,10/28/23 19:06,CST,366936680.0,10/30/23 05:40,10/30/23 06:40,,,
PORT MANSFIELD,1262416,U,2,10/28/23 18:17,CST,368169060.0,10/29/23 17:15,10/29/23 18:00,,,
KAYLIN NICOLE (TOW 2016) 81X32,1271719,U,2,10/28/23 18:09,CST,367755650.0,10/30/23 01:40,10/30/23 03:08,,,
ACE G ,0629629,U,1,10/28/23 18:06,CST,367352250.0,10/28/23 19:51,10/28/23 20:58,,,
RIO GRANDE,1248275,D,2,10/28/23 17:36,CST,367585170.0,10/30/23 03:17,10/30/23 04:25,,,
BLANCO ( TOW 2011 ) 84X32,1235527,U,2,10/28/23 17:24,CST,367503060.0,10/29/23 13:45,10/29/23 14:25,,,
THREE RIVERS (TOW 2013) 78X34,1250092,D,2,10/28/23 16:47,CST,367595460.0,10/30/23 00:20,10/30/23 01:30,,,
LADY OF PERPETUAL HELP(TOW) ,1207724,U,6,10/28/23 10:46,CST,367328790.0,10/29/23 09:05,10/29/23 10:10,,,
DELACROIX,1256869,D,1,10/28/23 08:40,CST,368136920.0,10/28/23 16:15,10/28/23 17:25,,,
MISS PEYTON,0633411,U,6,10/28/23 06:53,CST,368028990.0,10/29/23 11:30,10/29/23 12:20,,,
KEVIN ALLEN ,1273624,U,2,10/28/23 06:38,CST,368151890.0,10/29/23 06:55,10/29/23 07:45,,,
MICHELLE GOLDING,1258033,D,2,10/28/23 04:55,CST,367652980.0,10/29/23 20:50,10/29/23 21:55,,,
ALICE (TOW),0289731,U,2,10/27/23 21:30,CST,,10/29/23 04:00,10/29/23 05:05,,,
HOUSTON FORET (TOW 1981) 57X24,0633661,D,1,10/27/23 21:26,CST,367588960.0,10/28/23 13:45,10/28/23 14:35,,,
SCF MARINE HWY,1250741,D,8,10/27/23 21:15,CST,368119120.0,10/29/23 18:13,10/29/23 19:14,,,
LUCY MAY,0614508,D,6,10/27/23 20:55,CST,367002580.0,10/29/23 14:45,10/29/23 15:30,,,
SCF CONTAINER EXPRESS ,1250819,D,8,10/27/23 20:40,CST,368119090.0,10/29/23 15:55,10/29/23 16:50,,,
MARK L DUPLANTIS,1209682,D,8,10/27/23 18:43,CST,367702060.0,10/29/23 12:30,10/29/23 13:30,,,
CAPTAIN ROY DANIELS,1316301,D,6,10/27/23 17:27,CST,368252420.0,10/29/23 10:30,10/29/23 11:15,,,
