VESSEL_NAME,VESSEL_NO,DIRECTION,NUM_BARGES,ARRIVAL_DATE,SOL_DATE,END_OF_LOCKAGE,TIMEZONE,DELAY_MINS,SEQ_NO
CAPTAIN RAPHAEL (TOW 1980),622432,D,2,2023-10-22 00:33:00,2023-10-22 01:11:00,2023-10-22 01:45:00,CST,38,-
KEVIN ALLEN,1273624,D,2,2023-10-21 23:31:00,2023-10-21 23:40:00,2023-10-22 00:10:00,CST,9,-
THERESA B (TOW),561744,U,0,2023-10-21 23:30:00,2023-10-21 23:31:00,2023-10-21 23:40:00,CST,1,-
PORT MANSFIELD,1262416,D,2,2023-10-21 22:09:00,2023-10-21 22:55:00,2023-10-21 23:05:00,CST,46,-
CITATION (TOW),1217083,D,3,2023-10-21 18:40:00,2023-10-21 22:40:00,2023-10-21 22:50:00,CST,0,-
CITATION (TOW),1217083,D,3,2023-10-21 18:40:00,2023-10-21 22:20:00,2023-10-21 22:35:00,CST,220,-
JOCK  (TOW 2000)  86X30,1101550,U,2,2023-10-21 21:05:00,2023-10-21 21:06:00,2023-10-21 22:20:00,CST,1,-
RICHARD B(TOW) 55X22,568300,U,0,2023-10-21 20:14:00,2023-10-21 20:15:00,2023-10-21 20:20:00,CST,1,-
LIV (TOW 2015) 72X30,1261486,D,2,2023-10-21 16:12:00,2023-10-21 19:30:00,2023-10-21 19:40:00,CST,0,-
LIV (TOW 2015) 72X30,1261486,D,3,2023-10-21 16:12:00,2023-10-21 18:55:00,2023-10-21 19:25:00,CST,163,-
GRAYSON,1256561,D,2,2023-10-21 16:46:00,2023-10-21 18:30:00,2023-10-21 18:55:00,CST,104,-
GOSPEL LIGHT (TOW),570130,U,3,2023-10-21 16:08:00,2023-10-21 18:20:00,2023-10-21 18:30:00,CST,0,-
GOSPEL LIGHT (TOW),570130,U,3,2023-10-21 16:08:00,2023-10-21 18:00:00,2023-10-21 18:15:00,CST,112,-
RED RIVER (TOW 2013) 78X34,1247072,D,2,2023-10-21 14:57:00,2023-10-21 17:30:00,2023-10-21 18:00:00,CST,153,-
ENDURANCE (TOW 2011)81X30,1232349,D,2,2023-10-21 14:56:00,2023-10-21 16:50:00,2023-10-21 17:25:00,CST,114,-
THERESA B (TOW),561744,D,0,2023-10-21 16:40:00,2023-10-21 16:40:00,2023-10-21 16:45:00,CST,0,-
WAYNE BETHEL (TOW 2015) 84X32,1260560,U,2,2023-10-21 14:09:00,2023-10-21 16:11:00,2023-10-21 16:40:00,CST,122,-
REPOSE,1041355,D,3,2023-10-20 22:56:00,2023-10-21 14:20:00,2023-10-21 14:30:00,CST,0,-
REPOSE,1041355,D,3,2023-10-20 22:56:00,2023-10-21 14:05:00,2023-10-21 14:15:00,CST,909,-
PONTCHARTRAIN,1259051,D,2,2023-10-21 08:26:00,2023-10-21 13:30:00,2023-10-21 14:00:00,CST,304,-
