VESSEL_NAME,VESSEL_NO,DIRECTION,NUM_BARGES,ARRIVAL_DATE,SOL_DATE,END_OF_LOCKAGE,TIMEZONE,DELAY_MINS,SEQ_NO
GOSPEL LIGHT (TOW),0570130,U,6,2023-10-21 22:25:00,2023-10-24 01:00:00,2023-10-24 02:08:00,CST,3035,-
WAYNE BETHEL (TOW 2015) 84X32,1260560,U,2,2023-10-21 18:59:00,2023-10-23 23:30:00,2023-10-24 00:26:00,CST,3151,-
ASHLEY (TOW),0508924,U,1,2023-10-23 22:04:00,2023-10-23 23:15:00,2023-10-24 00:20:00,CST,71,-
DODSON THORNTON,0266269,D,6,2023-10-21 09:15:00,2023-10-23 22:01:00,2023-10-23 23:09:00,CST,3646,-
JACKSON MCKINNEY (TOW 1981) ,0630902,D,1,2023-10-23 17:41:00,2023-10-23 21:51:00,2023-10-23 22:59:00,CST,250,-
AMAZING GRACE (TOW 1958),0277588,U,0,2023-10-23 21:09:00,2023-10-23 21:26:00,2023-10-23 21:50:00,CST,17,-
HARRISON,1214850,D,2,2023-10-21 05:49:00,2023-10-23 20:17:00,2023-10-23 21:25:00,CST,3748,-
ASHLEY (TOW),0508924,D,1,2023-10-23 16:36:00,2023-10-23 20:10:00,2023-10-23 21:15:00,CST,214,-
INDEPENDENCE,0586238,U,6,2023-10-21 03:49:00,2023-10-23 19:15:00,2023-10-23 20:05:00,CST,3806,-
JOSEPH ALFRED DEVALL,1236564,D,3,2023-10-21 02:19:00,2023-10-23 18:10:00,2023-10-23 19:05:00,CST,3831,-
HOUSTON FORET (TOW 1981) 57X24,0633661,U,1,2023-10-23 09:52:00,2023-10-23 17:15:00,2023-10-23 18:04:00,CST,443,-
H J DUPRE (TOW),0532464,D,3,2023-10-20 22:36:00,2023-10-23 16:08:00,2023-10-23 17:00:00,CST,3932,-
ROBERT G STONE JR (TOW),1189439,D,2,2023-10-20 22:07:00,2023-10-23 14:45:00,2023-10-23 15:40:00,CST,3878,-
T H KELLY (TOW),0693109,D,6,2023-10-20 21:31:00,2023-10-23 13:30:00,2023-10-23 14:29:00,CST,3839,-
ST. MATTHIAS,1273328,D,6,2023-10-20 19:30:00,2023-10-23 12:27:00,2023-10-23 13:15:00,CST,3897,-
SACRED HEART (TOW 73X28),1203067,D,6,2023-10-20 18:19:00,2023-10-23 11:10:00,2023-10-23 12:04:00,CST,3891,-
SCF CONTAINER EXPRESS ,1250819,D,7,2023-10-20 16:29:00,2023-10-23 10:05:00,2023-10-23 10:47:00,CST,3936,-
BOLD VENTURE,1301090,U,6,2023-10-20 20:37:00,2023-10-23 09:00:00,2023-10-23 09:56:00,CST,3623,-
RALPH RENFRO (TOW 2012) 84X32,1243956,D,2,2023-10-20 12:15:00,2023-10-23 07:45:00,2023-10-23 08:47:00,CST,4050,-
AMERICAN STRONG (TOW 2016),1272102,U,2,2023-10-21 15:22:00,2023-10-23 06:30:00,2023-10-23 07:36:00,CST,2348,-
JOSEPH ALFRED DEVALL,1236564,U,3,2023-10-21 14:57:00,2023-10-23 05:20:00,2023-10-23 05:55:00,CST,2303,-
STEVE ALLEY,1322117,U,5,2023-10-21 11:46:00,2023-10-23 04:20:00,2023-10-23 05:00:00,CST,2434,-
PORT EADS (TOW 2016) 69X30,1263200,U,2,2023-10-21 11:04:00,2023-10-23 03:35:00,2023-10-23 04:05:00,CST,2431,-
CAROL M OTT (TOW),1071633,U,2,2023-10-21 01:43:00,2023-10-23 02:50:00,2023-10-23 03:20:00,CST,2947,-
COTTLE (TOW 2019) 85X32,1291739,U,3,2023-10-20 20:02:00,2023-10-23 01:55:00,2023-10-23 02:25:00,CST,3233,-
TRUMP IT,0675384,U,6,2023-10-20 19:54:00,2023-10-23 01:00:00,2023-10-23 01:40:00,CST,3186,-
MICHELE GONSOULIN ( TOW ),1194788,U,2,2023-10-20 19:19:00,2023-10-22 23:50:00,2023-10-23 00:30:00,CST,3151,-
RANDY MARTIN (TOW),1134312,U,2,2023-10-20 19:07:00,2023-10-22 23:10:00,2023-10-22 23:40:00,CST,3123,-
DANE F MORGAN (TOW),1141127,U,2,2023-10-20 12:42:00,2023-10-22 22:30:00,2023-10-22 23:00:00,CST,3468,-
DUKE,1247420,U,3,2023-10-20 05:38:00,2023-10-22 21:35:00,2023-10-22 22:10:00,CST,3837,-
RESOLUTION (TOW),0629784,U,6,2023-10-20 05:30:00,2023-10-22 20:35:00,2023-10-22 21:10:00,CST,3785,-
LESLIE (TOW 73X31),1218576,U,6,2023-10-20 03:02:00,2023-10-22 19:50:00,2023-10-22 20:20:00,CST,3888,-
CAPTAIN EARL DEVALL (TOW)2005,1167310,U,2,2023-10-20 02:45:00,2023-10-22 19:00:00,2023-10-22 19:35:00,CST,3855,-
LAKE BORGNE,1243596,D,2,2023-10-20 12:04:00,2023-10-22 17:36:00,2023-10-22 18:30:00,CST,3212,-
RESPONDER,0543900,D,6,2023-10-20 07:53:00,2023-10-22 16:23:00,2023-10-22 17:15:00,CST,3390,-
NICHOLAS VETO,1255027,D,1,2023-10-22 14:18:00,2023-10-22 16:14:00,2023-10-22 17:09:00,CST,116,-
