VESSEL_NAME,VESSEL_NO,DIRECTION,NUM_BARGES,ARRIVAL_DATE,SOL_DATE,END_OF_LOCKAGE,TIMEZONE,DELAY_MINS,SEQ_NO
DAHLI BROOKE,1248795,D,2,2023-10-20 05:09:00,2023-10-22 15:10:00,2023-10-22 15:55:00,CST,3481,-
CAPTAIN ROY DANIELS,1316301,D,1,2023-10-22 12:09:00,2023-10-22 15:00:00,2023-10-22 15:49:00,CST,171,-
FREEDOM (TOW),0287518,D,6,2023-10-20 04:12:00,2023-10-22 13:32:00,2023-10-22 14:38:00,CST,3440,-
KENNY BILLIOT (TOW 2013),1244012,D,2,2023-10-22 00:04:00,2023-10-22 13:21:00,2023-10-22 14:28:00,CST,797,-
BETH WILSON,1121373,D,2,2023-10-20 03:59:00,2023-10-22 11:57:00,2023-10-22 12:59:00,CST,3358,-
SANDPIPER (TOW 2011) 34X78,1237330,D,1,2023-10-21 21:00:00,2023-10-22 11:47:00,2023-10-22 12:54:00,CST,887,-
KEVIN ALLEN,1273624,U,2,2023-10-04 08:19:00,,,CST,63,7
HOUSTON FORET (TOW 1981) 57X24,633661,D,1,2023-10-04 08:10:00,,,CST,72,10
ERNEST YANCEY,1236144,D,2,2023-10-04 05:41:00,,,CST,221,9
MIKE BECHTOLD,586008,U,6,2023-10-04 03:55:00,,,CST,327,6
CAPT. KIRK COLLETTI,1213534,U,2,2023-10-04 03:31:00,,,CST,351,5
PARKER JAMES (TOW 72' X 30'),1276020,D,3,2023-10-04 03:19:00,,,CST,363,8
EDWARD JONES JR (TOW 2011),1236733,D,2,2023-10-04 03:15:00,,,CST,367,7
SID MOLLER (TOW 2009),1216426,D,2,2023-10-04 02:13:00,,,CST,429,6
LILY G BROOKS,1302688,U,3,2023-10-04 01:52:00,,,CST,450,4
PADDY (TOW 1996),1040254,U,2,2023-10-04 01:47:00,,,CST,455,3
JOHN DEMPSEY,1251693,U,2,2023-10-04 01:30:00,,,CST,472,2
CAPT JAMES (TOW 2015) 78X34,1259533,D,2,2023-10-03 23:31:00,,,CST,591,5
RITA (TOW),544740,D,4,2023-10-03 22:50:00,,,CST,632,4
T H KELLY (TOW),693109,D,6,2023-10-03 20:36:00,,,CST,766,3
PINTAIL (TOW 2009) 57X28,1225748,D,1,2023-10-03 17:30:00,,,CST,952,1A
BOBBY JONES (TOW),502672,D,3,2023-10-03 17:29:00,,,CST,953,2
SHERIDAN A,1251629,D,2,2023-10-03 16:23:00,,,CST,1019,1B
CAPT DOUG WRIGHT,1202864,U,5,2023-10-04 01:11:00,2023-10-04 07:10:00,2023-10-04 08:05:00,CST,359,-
NOLAN RHODES (TOW 2014) 83X34,1251937,D,2,2023-10-03 15:51:00,2023-10-04 06:05:00,2023-10-04 07:00:00,CST,854,-
LIV (TOW 2015) 72X30,1261486,U,6,2023-10-03 15:20:00,2023-10-04 05:10:00,2023-10-04 05:55:00,CST,830,-
GOVERNOR MIKE HUCKABEE 80X30,1236450,U,2,2023-10-03 14:25:00,2023-10-04 04:20:00,2023-10-04 04:55:00,CST,835,-
HIGH ISLAND (TOW 78X34)2012,1242165,U,2,2023-10-03 12:10:00,2023-10-04 03:15:00,2023-10-04 04:05:00,CST,905,-
MISS RACHEL (TOW),632292,U,1,2023-10-04 02:23:00,2023-10-04 03:00:00,2023-10-04 03:55:00,CST,37,-
CSS SHENANDOAH (TOW 2019),1300154,D,3,2023-10-03 15:45:00,2023-10-04 02:10:00,2023-10-04 02:50:00,CST,625,-
GEISMAR (TOW),555297,D,1,2023-10-03 18:51:00,2023-10-04 00:50:00,2023-10-04 01:40:00,CST,359,-
MISS RACHEL (TOW),632292,D,1,2023-10-03 18:45:00,2023-10-04 00:40:00,2023-10-04 01:35:00,CST,355,-
JONES (TOW),1211510,D,2,2023-10-03 15:43:00,2023-10-04 00:30:00,2023-10-04 01:30:00,CST,527,-
LESLIE (TOW 73X31),1218576,D,6,2023-10-03 09:56:00,2023-10-03 23:25:00,2023-10-04 00:05:00,CST,809,-
CAPTAIN WALTER,1321262,D,1,2023-10-03 16:54:00,2023-10-03 23:15:00,2023-10-04 00:00:00,CST,381,-
KYLE SMITH,1308580,D,3,2023-10-03 09:07:00,2023-10-03 22:05:00,2023-10-03 23:00:00,CST,778,-
CROSBY EXPLORER (TOW),633881,D,1,2023-10-03 16:49:00,2023-10-03 21:10:00,2023-10-03 21:45:00,CST,261,-
OVIDE J  (TOW 1998) 76X28,1070283,D,1,2023-10-03 08:18:00,2023-10-03 21:00:00,2023-10-03 21:40:00,CST,762,-
CHIPPEWA,1262260,U,2,2023-10-03 08:52:00,2023-10-03 20:05:00,2023-10-03 20:50:00,CST,673,-
LYDIA  (TOW 1994) 79X28,1028379,D,3,2023-10-03 07:42:00,2023-10-03 19:00:00,2023-10-03 19:50:00,CST,678,-
RESPONDER,543900,U,6,2023-10-03 08:33:00,2023-10-03 17:37:00,2023-10-03 18:45:00,CST,544,-
RITA (TOW),544740,U,6,2023-10-03 08:32:00,2023-10-03 16:03:00,2023-10-03 17:10:00,CST,451,-
GEISMAR (TOW),555297,U,1,2023-10-03 13:51:00,2023-10-03 15:39:00,2023-10-03 16:55:00,CST,108,-
RICHARD  (TOW 2008),1212306,D,2,2023-10-03 04:17:00,2023-10-03 14:01:00,2023-10-03 15:20:00,CST,584,-
BAILEY B,1250234,D,1,2023-10-03 09:54:00,2023-10-03 13:45:00,2023-10-03 15:15:00,CST,231,-
SWEENEY,1252151,U,2,2023-10-03 06:39:00,2023-10-03 12:42:00,2023-10-03 13:38:00,CST,363,-
DELACROIX,1256869,U,1,2023-10-03 10:47:00,2023-10-03 12:26:00,2023-10-03 13:34:00,CST,99,-
PARKER JAMES (TOW 72' X 30'),1276020,U,3,2023-10-03 06:02:00,2023-10-03 10:40:00,2023-10-03 11:45:00,CST,278,-
JOYCE MAXINE (TOW 2006) 70X28,1182602,D,2,2023-10-03 03:02:00,2023-10-03 07:32:00,2023-10-03 08:15:00,CST,270,-
MARTIN CHALLENGER (TOW),1051672,U,2,2023-10-03 01:32:00,2023-10-03 06:20:00,2023-10-03 07:25:00,CST,288,-
SCF CONTAINER EXPRESS,1250819,U,2,2023-10-03 05:13:00,2023-10-03 06:00:00,2023-10-03 07:18:00,CST,47,-
FRANK GOLEMI (TOW),1251200,U,2,2023-10-03 01:18:00,2023-10-03 05:05:00,2023-10-03 05:45:00,CST,227,-
KENNY BILLIOT (TOW 2013),1244012,U,1,2023-10-03 03:30:00,2023-10-03 04:00:00,2023-10-03 04:50:00,CST,30,-
LADY OF PERPETUAL HELP(TOW),1207724,U,6,2023-10-03 01:09:00,2023-10-03 03:50:00,2023-10-03 04:45:00,CST,161,-
TIM SCOTT,1253090,U,2,2023-10-02 20:27:00,2023-10-03 02:45:00,2023-10-03 03:25:00,CST,378,-
MISS RACHEL (TOW),632292,U,1,2023-10-03 01:42:00,2023-10-03 02:40:00,2023-10-03 03:20:00,CST,58,-
SETH D (TOW 1981) 61X26,634990,D,4,2023-10-02 21:48:00,2023-10-03 01:45:00,2023-10-03 02:25:00,CST,237,-
KENNY BILLIOT (TOW 2013),1244012,D,1,2023-10-02 21:35:00,2023-10-03 01:40:00,2023-10-03 02:20:00,CST,245,-
MISS RACHEL (TOW),632292,D,1,2023-10-02 19:37:00,2023-10-03 00:20:00,2023-10-03 01:10:00,CST,283,-
INTRA RECOIL(TOW),533346,D,2,2023-10-02 17:39:00,2023-10-03 00:10:00,2023-10-03 01:05:00,CST,391,-
RIO GRANDE,1248275,D,1,2023-10-02 21:12:00,2023-10-03 00:00:00,2023-10-03 00:55:00,CST,168,-
RAY S (TOW 2017),1282990,U,2,2023-10-02 11:55:00,2023-10-02 23:05:00,2023-10-02 23:50:00,CST,670,-
SAN ANTONIO (TOW 2011),1236027,U,2,2023-10-02 11:18:00,2023-10-02 22:00:00,2023-10-02 22:45:00,CST,642,-
LIBERTY,1224946,U,2,2023-10-02 08:22:00,2023-10-02 20:50:00,2023-10-02 21:35:00,CST,748,-
SCF MARINE HWY,1250741,U,9,2023-10-02 08:00:00,2023-10-02 19:40:00,2023-10-02 20:25:00,CST,700,-
COUNT FLEET,1294853,U,2,2023-10-02 07:55:00,2023-10-02 18:25:00,2023-10-02 19:05:00,CST,630,-
CAPTAIN WALTER,1321262,U,1,2023-10-02 16:12:00,2023-10-02 18:15:00,2023-10-02 19:00:00,CST,123,-
CAPTAIN RAPHAEL (TOW 1980),622432,D,2,2023-10-02 15:36:00,2023-10-02 17:10:00,2023-10-02 18:00:00,CST,94,-
LESLIE (TOW 73X31),1218576,U,6,2023-10-02 07:47:00,2023-10-02 15:55:00,2023-10-02 16:53:00,CST,488,-
MISS BETH (TOW),641329,U,1,2023-10-02 12:35:00,2023-10-02 15:35:00,2023-10-02 16:44:00,CST,180,-
LINDA HUGHES FARLEY,1273622,D,2,2023-10-02 11:14:00,2023-10-02 14:18:00,2023-10-02 15:10:00,CST,184,-
STEVE ALLEY,1322117,U,6,2023-10-02 06:14:00,2023-10-02 13:04:00,2023-10-02 14:09:00,CST,410,-
FATHER PAT (TOW 2011) 76X35,1237423,D,3,2023-10-02 11:05:00,2023-10-02 11:55:00,2023-10-02 12:35:00,CST,50,-
MARGARET ANNE (TOW 2017) 81X32,1275151,U,2,2023-10-02 02:47:00,2023-10-02 11:00:00,2023-10-02 11:46:00,CST,493,-
BORN AGAIN (TOW),562776,D,6,2023-10-02 02:30:00,2023-10-02 09:45:00,2023-10-02 10:45:00,CST,435,-
BERDON LAWRENCE,1306286,U,2,2023-10-02 02:36:00,2023-10-02 08:30:00,2023-10-02 09:23:00,CST,354,-
COUSHATTA (TOW),1040099,D,2,2023-10-02 02:17:00,2023-10-02 07:26:00,2023-10-02 08:15:00,CST,309,-
FATHER PAT (TOW 2011) 76X35,1237423,U,6,2023-10-02 02:17:00,2023-10-02 06:05:00,2023-10-02 07:04:00,CST,228,-
BAILEY B,1250234,U,1,2023-10-02 03:39:00,2023-10-02 06:00:00,2023-10-02 06:52:00,CST,141,-
FRANK GOLEMI (TOW),1251200,D,2,2023-10-01 21:50:00,2023-10-02 04:50:00,2023-10-02 05:45:00,CST,420,-
GW DUNN,578286,D,1,2023-10-02 03:37:00,2023-10-02 04:40:00,2023-10-02 05:40:00,CST,63,-
MIKE MITCHELL,624349,U,6,2023-10-01 18:57:00,2023-10-02 03:05:00,2023-10-02 04:10:00,CST,488,-
SARAH D (TOW),1167754,D,3,2023-10-01 19:57:00,2023-10-02 01:50:00,2023-10-02 02:40:00,CST,353,-
JAMES S DAVISON (TOW 86X32),1211188,U,2,2023-10-01 18:53:00,2023-10-02 00:45:00,2023-10-02 01:40:00,CST,352,-
KENNY BILLIOT (TOW 2013),1244012,U,1,2023-10-01 23:09:00,2023-10-02 00:35:00,2023-10-02 01:30:00,CST,86,-
AMERICAN LIFE (TOW 2016) 76X34,1268290,D,2,2023-10-01 14:43:00,2023-10-01 23:40:00,2023-10-02 00:20:00,CST,537,-
SETH D (TOW 1981) 61X26,634990,U,6,2023-10-01 12:57:00,2023-10-01 22:25:00,2023-10-01 23:20:00,CST,568,-
MISS AMANDA M,1299362,U,1,2023-10-01 19:50:00,2023-10-01 22:15:00,2023-10-01 23:10:00,CST,145,-
PORT EADS (TOW 2016) 69X30,1263200,D,2,2023-10-01 13:58:00,2023-10-01 20:40:00,2023-10-01 21:35:00,CST,402,-
KENNY BILLIOT (TOW 2013),1244012,D,1,2023-10-01 20:03:00,2023-10-01 20:30:00,2023-10-01 21:20:00,CST,27,-
SABINE (TOW 2012),1236712,U,2,2023-10-01 12:42:00,2023-10-01 19:40:00,2023-10-01 20:20:00,CST,418,-
SOUTHERN BELLE  (TOW),516701,D,6,2023-10-01 12:41:00,2023-10-01 18:08:00,2023-10-01 19:00:00,CST,327,-
MICHELLE GOLDING,1258033,U,2,2023-10-01 11:47:00,2023-10-01 17:00:00,2023-10-01 18:02:00,CST,313,-
BROOKE BANTA 75X30,1233112,D,2,2023-10-01 11:24:00,2023-10-01 15:35:00,2023-10-01 16:50:00,CST,251,-
LUCY MAY,614508,U,6,2023-10-01 10:53:00,2023-10-01 14:05:00,2023-10-01 15:28:00,CST,192,-
SHELL BEACH,1243598,U,0,2023-10-13 05:06:00,,,CST,106,25
CAPTAIN RAPHAEL (TOW 1980),0622432,U,2,2023-10-13 05:00:00,,,CST,112,24
CAPT DOUG WRIGHT,1202864,U,5,2023-10-13 04:52:00,,,CST,120,23
DISCOVERY,1225821,U,2,2023-10-13 04:15:00,,,CST,157,22
BOLD VENTURE,1301090,D,4,2023-10-13 04:05:00,,,CST,167,22
ENDURANCE (TOW 2011)81X30,1232349,U,2,2023-10-13 04:01:00,,,CST,171,21
GEISMAR (TOW),0555297,D,1,2023-10-13 03:51:00,,,CST,181,2A
PONTCHARTRAIN,1259051,U,2,2023-10-13 03:48:00,,,CST,184,20
LLANO (TOW 2012) 84X32,1236229,U,2,2023-10-13 03:41:00,,,CST,191,19
RAY CHIEF TONEY (TOW 2015),1265939,D,2,2023-10-13 03:32:00,,,CST,200,21
EVERARD DUPRE,1269035,U,2,2023-10-13 03:28:00,,,CST,204,18
SANDRA LEIGH IVEY,1292801,U,2,2023-10-13 01:49:00,,,CST,303,17
JANE ANN BLESSEY (TOW),1111657,U,2,2023-10-12 23:29:00,,,CST,443,16
PADDY (TOW 1996),1040254,D,2,2023-10-12 22:33:00,,,CST,499,20
MADELINE ( TOW 2008 ),1209145,D,2,2023-10-12 22:30:00,,,CST,502,19
MIKE MITCHELL,0624349,U,6,2023-10-12 21:54:00,,,CST,538,15
SHANNON MARY (TOW) 80X32,1255674,U,3,2023-10-12 21:52:00,,,CST,540,14
