VESSEL_NAME,VESSEL_NO,DIRECTION,NUM_BARGES,ARRIVAL_DATE,SOL_DATE,END_OF_LOCKAGE,TIMEZONE,DELAY_MINS,SEQ_NO
M/V TEXAS CITY,1189892,U,2,2023-10-10 06:48:00,2023-10-10 08:20:00,2023-10-10 08:39:00,CST,92,-
CAPTAIN RAPHAEL (TOW 1980),622432,U,2,2023-10-10 05:58:00,2023-10-10 07:58:00,2023-10-10 08:15:00,CST,120,-
RICHARD TOLAR (85X30),1225115,D,2,2023-10-10 06:41:00,2023-10-10 07:05:00,2023-10-10 07:30:00,CST,24,-
SACRED HEART (TOW 73X28),1203067,D,6,2023-10-10 05:56:00,2023-10-10 06:43:00,2023-10-10 07:04:00,CST,47,-
GW DUNN,578286,D,3,2023-10-10 05:24:00,2023-10-10 05:25:00,2023-10-10 06:09:00,CST,1,-
ALEX D,1231404,U,2,2023-10-10 04:15:00,2023-10-10 04:45:00,2023-10-10 05:10:00,CST,30,-
ENDEAVOR (TOW),517731,U,2,2023-10-10 03:35:00,2023-10-10 04:21:00,2023-10-10 04:44:00,CST,46,-
FREEDOM (TOW),287518,D,6,2023-10-10 02:57:00,2023-10-10 03:25:00,2023-10-10 04:20:00,CST,28,-
PAT CENAC,1303152,D,5,2023-10-10 00:22:00,2023-10-10 00:51:00,2023-10-10 01:18:00,CST,29,-
CREOLE ANN (TOW),519093,D,1,2023-10-10 00:03:00,2023-10-10 00:04:00,2023-10-10 00:50:00,CST,1,-
BELL,1186064,D,2,2023-10-09 20:27:00,2023-10-09 23:03:00,2023-10-09 23:58:00,CST,156,-
DARIAN ALEXANDRA (TOW 2019),1269031,U,5,2023-10-09 20:11:00,2023-10-09 22:08:00,2023-10-09 23:02:00,CST,117,-
MARIE  (TOW 2005),1171260,U,2,2023-10-09 19:49:00,2023-10-09 21:39:00,2023-10-09 22:04:00,CST,110,-
ALYS,1233341,U,2,2023-10-09 17:39:00,2023-10-09 20:39:00,2023-10-09 21:38:00,CST,180,-
RYAN    (TOW 2002) 86X30,1130859,D,2,2023-10-09 17:58:00,2023-10-09 20:08:00,2023-10-09 20:38:00,CST,130,-
JOYCE MAXINE (TOW 2006) 70X28,1182602,D,2,2023-10-09 17:50:00,2023-10-09 19:40:00,2023-10-09 20:07:00,CST,110,-
BRIAN O DANIELS ( TOW ),1198960,D,2,2023-10-09 17:00:00,2023-10-09 19:21:00,2023-10-09 19:39:00,CST,141,-
CARTER RAY SETTOON (TOW),543278,D,2,2023-10-09 16:56:00,2023-10-09 18:31:00,2023-10-09 19:20:00,CST,95,-
STEVEN M BRYAN (2010) 86X32,1223817,U,2,2023-10-09 17:35:00,2023-10-09 18:05:00,2023-10-09 18:30:00,CST,30,-
BORN AGAIN (TOW),562776,U,6,2023-10-09 16:36:00,2023-10-09 17:43:00,2023-10-09 18:04:00,CST,67,-
MISS CAROLINE (TOW 2014),1250509,U,2,2023-10-09 15:23:00,2023-10-09 17:26:00,2023-10-09 17:42:00,CST,123,-
FALCON,1324494,U,2,2023-10-09 14:52:00,2023-10-09 17:07:00,2023-10-09 17:25:00,CST,135,-
LUCAS PAUL DEVALL (TOW 2017),1277619,U,2,2023-10-09 13:54:00,2023-10-09 16:42:00,2023-10-09 17:06:00,CST,168,-
NICHOLAS (TOW 2014) 65X28,1251897,U,5,2023-10-09 13:51:00,2023-10-09 15:58:00,2023-10-09 16:41:00,CST,127,-
GOSPEL LIGHT (TOW),570130,D,6,2023-10-09 13:47:00,2023-10-09 15:41:00,2023-10-09 15:57:00,CST,114,-
CHAMPION ( TOW 2013) 85X35,1247079,D,3,2023-10-09 13:12:00,2023-10-09 15:11:00,2023-10-09 15:40:00,CST,119,-
BULL CALF (TOW),646702,D,3,2023-10-09 13:11:00,2023-10-09 14:29:00,2023-10-09 15:10:00,CST,78,-
KENNY SHAVER,1294499,U,2,2023-10-09 13:40:00,2023-10-09 13:55:00,2023-10-09 14:28:00,CST,15,-
HENRY J SOUDELIER III ( TOW ),1195775,U,2,2023-10-09 12:55:00,2023-10-09 12:56:00,2023-10-09 13:54:00,CST,1,-
DANE F MORGAN (TOW),1141127,U,2,2023-10-09 11:33:00,2023-10-09 11:34:00,2023-10-09 12:21:00,CST,1,-
KEVIN ALLEN,1273624,D,2,2023-10-24 06:13:00,,,CST,84,FOG
CAPT DOUG WRIGHT,1202864,D,8,2023-10-24 05:24:00,,,CST,133,FOG
