VESSEL_NAME,VESSEL_NO,DIRECTION,NUM_BARGES,ARRIVAL_DATE,TIMEZONE,MMSI,SOL_DATE,END_OF_LOCKAGE,LOCK_NAME
STEVE RICHOUX (TOW),0568988,D,6,10/27/23 03:02,CST,366998110,10/28/23 13:50,10/28/23 14:40,Port Allen
RITA (TOW),544740,D,4,10/31/23 08:24,CST,366961280.0,,,Port Allen
REMY RHEX,1251904,D,1,10/31/23 08:00,CST,367617690.0,,,Port Allen
SAN MARCOS (TOW 1012),1242397,D,2,10/31/23 07:26,CST,367549670.0,,,Port Allen
CROSBY EXPRESS (TOW),1082131,D,6,10/31/23 05:54,CST,366769330.0,,,Port Allen
JACK CENAC,1312482,D,1,10/31/23 04:42,CST,368285040.0,,,Port Allen
CAJUN HUSTLER (TOW),527969,D,1,10/31/23 04:40,CST,367428170.0,10/31/23 06:00,10/31/23 06:56,Port Allen
LANEY BLESSEY WATKINS ( TOW),1251462,U,2,10/31/23 03:39,CST,367613760.0,,,Port Allen
RICHARD TOLAR (85X30),1225115,U,2,10/31/23 02:15,CST,367439360.0,,,Port Allen
LADY OF PERPETUAL HELP(TOW) ,1207724,D,6,10/31/23 01:48,CST,367328790.0,,,Port Allen
SABINE (TOW 2012),1236712,D,2,10/31/23 00:01,CST,367509510.0,,,Port Allen
INTRA RECOIL(TOW),533346,U,2,10/30/23 23:08,CST,368193180.0,,,Port Allen
CITATION (TOW),1217083,U,6,10/30/23 23:03,CST,368213040.0,,,Port Allen
REPOSE,1041355,D,6,10/30/23 22:39,CST,368286780.0,,,Port Allen
RALPH C,1292862,U,2,10/30/23 22:02,CST,368083470.0,,,Port Allen
RENEE T WHATLEY (TOW),1194317,U,1,10/30/23 21:50,CST,367155550.0,10/31/23 07:16,10/31/23 08:11,Port Allen
LUBBOCK,1260379,U,2,10/30/23 21:48,CST,368136890.0,,,Port Allen
ASHLEY (TOW),508924,U,1,10/30/23 21:22,CST,367633230.0,10/30/23 22:15,10/30/23 22:55,Port Allen
ACE G ,629629,U,2,10/30/23 21:05,CST,367352250.0,10/30/23 23:30,10/30/23 23:55,Port Allen
MISS RACHEL (TOW),632292,U,1,10/30/23 20:55,CST,366995560.0,10/30/23 22:05,10/30/23 22:50,Port Allen
KARL SENNER ,1244550,D,2,10/30/23 20:19,CST,367570840.0,,,Port Allen
PHILIP (TOW 1995),1033117,D,2,10/30/23 19:54,CST,367003780.0,,,Port Allen
MISS RACHEL (TOW),632292,D,0,10/30/23 19:34,CST,366995560.0,10/30/23 20:25,10/30/23 20:55,Port Allen
ST PADRE PIO (TOW 74X28),1212045,D,6,10/30/23 19:07,CST,367362960.0,,,Port Allen
MANNIE (TOW 2009),1217770,U,2,10/30/23 18:40,CST,367410990.0,,,Port Allen
ASHLEY (TOW),508924,D,1,10/30/23 18:23,CST,367633230.0,10/30/23 18:40,10/30/23 19:15,Port Allen
INTEGRITY (TOW 2009),1223238,D,2,10/30/23 17:35,CST,367426950.0,,,Port Allen
MARTHA T (TOW),1194629,U,6,10/30/23 15:06,CST,367156850.0,,,Port Allen
CAPT DOUG WRIGHT,1202864,U,4,10/30/23 14:49,CST,367702240.0,,,Port Allen
BAYLOR J TREGRE,1055480,U,1,10/30/23 14:19,CST,368316160.0,10/30/23 16:00,10/30/23 16:59,Port Allen
