VESSEL_NAME,VESSEL_NO,DIRECTION,NUM_BARGES,ARRIVAL_DATE,TIMEZONE,MMSI,SOL_DATE,END_OF_LOCKAGE,LOCK_NAME
JOHN WILLIAMS (TOW 2010)86X32,1227726,D,2,10/29/23 16:21,CST,367464670,10/29/23 17:11,10/29/23 17:35,Leland Bowman
FATHER PAT (TOW 2011) 76X35,1237423,D,6,10/29/23 16:01,CST,367519320,10/29/23 16:35,10/29/23 17:05,Leland Bowman
RICHARD TOLAR (85X30),1225115,U,2,10/29/23 15:19,CST,367439360,10/29/23 15:49,10/29/23 16:16,Leland Bowman
NICEVILLE (TOW 76X35 2009),1221092,D,2,10/29/23 12:57,CST,367417570,10/29/23 15:11,10/29/23 15:37,Leland Bowman
TIM GOLDING ,1325050,U,1,10/29/23 12:49,CST,368270030,10/29/23 13:01,10/29/23 13:54,Leland Bowman
CREOLE CRUSADER (TOW),1092924,D,2,10/29/23 12:21,CST,367005340,10/29/23 14:39,10/29/23 15:05,Leland Bowman
GOSPEL LIGHT (TOW),0570130,D,6,10/29/23 11:40,CST,367637070,10/29/23 14:10,10/29/23 14:32,Leland Bowman
RENEE T WHATLEY (TOW),1194317,U,1,10/29/23 11:27,CST,367155550,10/29/23 12:35,10/29/23 13:45,Leland Bowman
CHERYL ANN (TOW 66X26),1134298,D,0,10/29/23 10:29,CST,366874680,10/29/23 11:20,10/29/23 11:49,Leland Bowman
JADEN PASENTINE,1296289,D,2,10/29/23 10:08,CST,368113380,10/29/23 12:00,10/29/23 12:25,Leland Bowman
HOLY ROSARY (TOW 74X30),1217490,D,6,10/29/23 09:24,CST,367389530,10/29/23 11:25,10/29/23 11:55,Leland Bowman
RANDOLPH C,1261475,U,3,10/29/23 09:12,CST,367679550,10/29/23 10:35,10/29/23 11:13,Leland Bowman
SAN ANTONIO (TOW 2011),1236027,D,2,10/29/23 08:19,CST,367507730,10/29/23 09:45,10/29/23 10:16,Leland Bowman
LUBBOCK,1260379,U,2,10/29/23 07:26,CST,368136890,10/29/23 08:31,10/29/23 09:17,Leland Bowman
INTRA RECOIL(TOW),0533346,U,2,10/29/23 06:24,CST,368193180,10/29/23 08:20,10/29/23 09:12,Leland Bowman
BRIAN O DANIELS ( TOW ),1198960,D,2,10/29/23 04:55,CST,367186410,10/29/23 06:00,10/29/23 06:25,Leland Bowman
DISCOVERY ,1225821,D,2,10/29/23 04:51,CST,367443840,10/29/23 07:10,10/29/23 07:55,Leland Bowman
JAMES S DAVISON (TOW 86X32) ,1211188,U,2,10/29/23 04:44,CST,367505050,10/29/23 05:10,10/29/23 05:45,Leland Bowman
STEVEN M BRYAN (2010) 86X32,1223817,D,2,10/29/23 03:22,CST,367430050,10/29/23 03:45,10/29/23 04:15,Leland Bowman
WILLIAM  (TOW 2009) 70X30,1222437,U,2,10/29/23 01:37,CST,367423260,10/29/23 02:51,10/29/23 03:15,Leland Bowman
CAPT DOUG WRIGHT,1202864,U,4,10/29/23 01:25,CST,367702240,10/29/23 02:10,10/29/23 02:45,Leland Bowman
ELDA A,1253279,D,1,10/29/23 01:23,CST,367639990,10/29/23 01:30,10/29/23 01:55,Leland Bowman
CAPT TIMMY,0628797,D,0,10/28/23 22:28,CST,366991110,10/28/23 22:50,10/28/23 23:18,Leland Bowman
SOUTHERN BELLE  (TOW),0516701,D,6,10/28/23 21:51,CST,368115890,10/28/23 23:56,10/29/23 00:20,Leland Bowman
DUKE,1247420,D,2,10/28/23 21:32,CST,367586750,10/28/23 23:24,10/28/23 23:50,Leland Bowman
AMAZING GRACE (TOW 1958),0277588,D,6,10/28/23 20:36,CST,367731330,10/28/23 22:40,10/28/23 23:15,Leland Bowman
DODSON THORNTON,0266269,U,6,10/28/23 19:41,CST,368120610,10/28/23 21:51,10/28/23 22:15,Leland Bowman
FALCON,1324494,U,2,10/28/23 18:40,CST,368260030,10/28/23 21:15,10/28/23 21:45,Leland Bowman
RAY S (TOW 2017),1282990,D,2,10/28/23 18:04,CST,368019060,10/28/23 20:01,10/28/23 20:45,Leland Bowman
JACKIE GONSOULIN ( TOW ),1194711,D,2,10/28/23 17:29,CST,367332930,10/28/23 19:25,10/28/23 19:55,Leland Bowman
CAPT J A MORGAN (TOW),1186680,D,2,10/28/23 17:17,CST,367118980,10/28/23 18:51,10/28/23 19:15,Leland Bowman
JANE MERRICK,1251402,D,3,10/28/23 16:36,CST,367620420,10/28/23 18:07,10/28/23 18:45,Leland Bowman
