VESSEL_NAME,VESSEL_NO,DIRECTION,NUM_BARGES,ARRIVAL_DATE,TIMEZONE,MMSI,SOL_DATE,END_OF_LOCKAGE,LOCK_NAME
HOUSTON FORET (TOW 1981) 57X24,0633661,U,2,10/29/23 17:53,CST,367588960,10/29/23 19:40,10/29/23 20:15,Bayou Sorrel
CAPTAIN ROY DANIELS,1316301,D,3,10/29/23 17:29,CST,368252420,10/29/23 21:21,10/29/23 21:40,Bayou Sorrel
CAPTAIN ROY DANIELS,1316301,D,3,10/29/23 17:29,CST,368252420,10/29/23 21:45,10/29/23 21:55,Bayou Sorrel
BOBBY JONES (TOW),0502672,U,3,10/29/23 16:49,CST,366919160,10/29/23 20:15,10/29/23 20:55,Bayou Sorrel
JOSSET   (TOW 56X23),1116940,D,3,10/29/23 15:48,CST,366841020,10/29/23 19:20,10/29/23 19:40,Bayou Sorrel
G. I. JOE,0631012,U,1,10/29/23 12:08,CST,368202360,10/29/23 12:10,10/29/23 12:21,Bayou Sorrel
JOCK  (TOW 2000)  86X30,1101550,D,2,10/29/23 11:29,CST,367003460,10/29/23 17:05,10/29/23 17:15,Bayou Sorrel
FREEDOM (TOW),0287518,U,3,10/29/23 11:25,CST,367526590,10/29/23 18:11,10/29/23 18:30,Bayou Sorrel
FREEDOM (TOW),0287518,U,3,10/29/23 11:25,CST,367526590,10/29/23 18:35,10/29/23 19:00,Bayou Sorrel
RICHARD B(TOW) 55X22,0568300,D,0,10/29/23 11:14,CST,367690950,10/29/23 11:28,10/29/23 11:32,Bayou Sorrel
GALVESTON (TOW 76X35),1216091,D,2,10/29/23 11:03,CST,367381320,10/29/23 16:50,10/29/23 17:00,Bayou Sorrel
THERESA B (TOW),0561744,D,0,10/29/23 10:41,CST,367056060,10/29/23 10:57,10/29/23 11:01,Bayou Sorrel
LOUISE NEWELL,1293670,D,2,10/29/23 10:35,CST,368090850,10/29/23 15:50,10/29/23 16:05,Bayou Sorrel
RICHARD B(TOW) 55X22,0568300,D,0,10/29/23 10:32,CST,367690950,10/29/23 10:33,10/29/23 10:40,Bayou Sorrel
RICHARD B(TOW) 55X22,0568300,D,0,10/29/23 09:25,CST,367690950,10/29/23 09:26,10/29/23 09:33,Bayou Sorrel
ENTERPRISE,1247595,U,2,10/29/23 09:06,CST,367579920,10/29/23 11:32,10/29/23 12:05,Bayou Sorrel
THERESA B (TOW),0561744,D,0,10/29/23 08:19,CST,367056060,10/29/23 08:20,10/29/23 08:24,Bayou Sorrel
THERESA B (TOW),0561744,D,0,10/29/23 07:45,CST,367056060,10/29/23 07:54,10/29/23 08:00,Bayou Sorrel
RICHARD B(TOW) 55X22,0568300,D,0,10/29/23 07:15,CST,367690950,10/29/23 07:16,10/29/23 07:25,Bayou Sorrel
THERESA B (TOW),0561744,D,0,10/29/23 06:09,CST,367056060,10/29/23 06:17,10/29/23 06:22,Bayou Sorrel
AMMIE  (TOW 2010)95X30,1225687,D,2,10/29/23 03:49,CST,367448570,10/29/23 15:35,10/29/23 15:45,Bayou Sorrel
MISS KELLY (TOW 2009),1221425,U,2,10/29/23 03:44,CST,367427270,10/29/23 11:01,10/29/23 11:28,Bayou Sorrel
RESPONDER,0543900,D,3,10/29/23 02:39,CST,368286840,10/29/23 16:10,10/29/23 16:30,Bayou Sorrel
RESPONDER,0543900,D,3,10/29/23 02:39,CST,368286840,10/29/23 16:35,10/29/23 16:45,Bayou Sorrel
AMERICAN SKILL,1271964,U,2,10/29/23 00:41,CST,367752120,10/29/23 10:40,10/29/23 10:57,Bayou Sorrel
BORN AGAIN (TOW),0562776,U,3,10/29/23 00:15,CST,367712770,10/29/23 10:15,10/29/23 10:20,Bayou Sorrel
BORN AGAIN (TOW),0562776,U,2,10/29/23 00:15,CST,367712770,10/29/23 10:25,10/29/23 10:30,Bayou Sorrel
J A WARD (TOW 2006),1206273,D,3,10/28/23 23:43,CST,367662530,10/29/23 17:31,10/29/23 17:40,Bayou Sorrel
J A WARD (TOW 2006),1206273,D,3,10/28/23 23:43,CST,367662530,10/29/23 17:45,10/29/23 17:55,Bayou Sorrel
DELACROIX,1256869,D,1,10/28/23 22:38,CST,368136920,10/29/23 13:25,10/29/23 13:35,Bayou Sorrel
STEVE RICHOUX (TOW),0568988,D,3,10/28/23 22:03,CST,366998110,10/29/23 15:01,10/29/23 15:20,Bayou Sorrel
