VESSEL_NAME,VESSEL_NO,DIRECTION,NUM_BARGES,SOL_DATE,ARRIVAL_DATE,END_OF_LOCKAGE,TIMEZONE,MMSI,LOCK_NAME
ELDA A,1253279,D,1,10/29/23 14:13,10/29/23 14:00,10/29/23 14:18,CST,367639990,Calcasieu
ROBERT MUDD (TOW ,1229106,D,2,10/29/23 13:45,10/29/23 12:23,10/29/23 13:55,CST,364888400,Calcasieu
DUKE,1247420,D,2,10/29/23 13:14,10/29/23 11:54,10/29/23 13:34,CST,367586750,Calcasieu
RAY S (TOW 2017),1282990,D,2,10/29/23 12:54,10/29/23 11:28,10/29/23 13:13,CST,368019060,Calcasieu
JOHN PADGETT ELEVATOR (JU),0647205,U,1,10/29/23 11:29,10/29/23 11:14,10/29/23 11:33,CST,,Calcasieu
CAPT J A MORGAN (TOW),1186680,D,2,10/29/23 12:26,10/29/23 11:09,10/29/23 12:53,CST,367118980,Calcasieu
JANE MERRICK,1251402,D,3,10/29/23 12:03,10/29/23 10:55,10/29/23 12:25,CST,367620420,Calcasieu
MAC ANDREW MCKINNEY (TOW),1234978,D,6,10/29/23 10:59,10/29/23 10:08,10/29/23 11:13,CST,367500460,Calcasieu
JACKIE GONSOULIN ( TOW ),1194711,D,2,10/29/23 10:37,10/29/23 10:02,10/29/23 10:47,CST,367332930,Calcasieu
RESOLUTION (TOW),0629784,D,6,10/29/23 09:33,10/29/23 08:29,10/29/23 09:55,CST,367531790,Calcasieu
JEFFREY GRANT,1253473,U,1,10/29/23 06:10,10/29/23 05:34,10/29/23 06:26,CST,367627470,Calcasieu
 TOM CORNWELL  ,1307050,D,6,10/29/23 05:13,10/29/23 05:07,10/29/23 05:58,CST,368208250,Calcasieu
LANEY BLESSEY WATKINS ( TOW),1251462,U,2,10/29/23 03:40,10/29/23 03:28,10/29/23 04:14,CST,367613760,Calcasieu
TEE CENAC,1321259,D,1,10/29/23 02:43,10/29/23 02:23,10/29/23 03:01,CST,,Calcasieu
MISS MICHELLE  (TOW),0607802,D,2,10/29/23 02:23,10/29/23 02:12,10/29/23 02:40,CST,366940860,Calcasieu
SACRED HEART (TOW 73X28),1203067,U,6,10/29/23 01:30,10/29/23 01:20,10/29/23 02:08,CST,367189510,Calcasieu
DRUM BAY,1238759,D,2,10/29/23 00:08,10/28/23 23:30,10/29/23 00:39,CST,368007120,Calcasieu
LADY OF PROMPT SUCCOR (TOW),1155422,D,6,10/28/23 23:40,10/28/23 23:15,10/29/23 00:06,CST,367311490,Calcasieu
PAT CENAC,1303152,D,3,10/28/23 23:05,10/28/23 22:53,10/28/23 23:34,CST,368175520,Calcasieu
TIM GOLDING ,1325050,U,1,10/28/23 21:50,10/28/23 20:57,10/28/23 22:13,CST,368270030,Calcasieu
SYDNEE TAYLOR (TOW),1191691,U,1,10/28/23 21:27,10/28/23 20:42,10/28/23 21:46,CST,367149340,Calcasieu
LILLIANNE D,1301272,D,2,10/28/23 22:26,10/28/23 20:22,10/28/23 22:54,CST,368145870,Calcasieu
RICHARD TOLAR (85X30),1225115,U,2,10/28/23 20:45,10/28/23 19:51,10/28/23 21:25,CST,367439360,Calcasieu
GREGORY P FRAZIER (TOW),0552463,D,2,10/28/23 20:02,10/28/23 19:22,10/28/23 20:39,CST,367019930,Calcasieu
RENEE T WHATLEY (TOW),1194317,U,1,10/28/23 19:18,10/28/23 19:15,10/28/23 19:43,CST,367155550,Calcasieu
MS. ALICE,0625971,D,1,10/28/23 19:10,10/28/23 18:30,10/28/23 19:17,CST,368264020,Calcasieu
LESLIE (TOW 73X31),1218576,D,6,10/28/23 18:36,10/28/23 18:28,10/28/23 19:09,CST,367402820,Calcasieu
CHAMPION ( TOW 2013) 85X35,1247079,D,1,10/28/23 17:34,10/28/23 17:16,10/28/23 18:08,CST,367573410,Calcasieu
INTRA RECOIL(TOW),0533346,U,2,10/28/23 16:47,10/28/23 16:46,10/28/23 17:33,CST,368193180,Calcasieu
RANDOLPH C,1261475,U,3,10/28/23 15:59,10/28/23 15:15,10/28/23 16:28,CST,367679550,Calcasieu
LUBBOCK,1260379,U,2,10/28/23 15:13,10/28/23 15:00,10/28/23 15:58,CST,368136890,Calcasieu
WILLIAM  (TOW 2009) 70X30,1222437,U,2,10/28/23 14:34,10/28/23 14:33,10/28/23 15:12,CST,367423260,Calcasieu
COTTLE (TOW 2019) 85X32,1291739,D,3,10/31/23 07:05,10/31/23 06:31,10/31/23 07:33,CST,368072040.0,Calcasieu
AMMIE  (TOW 2010)95X30,1225687,D,2,10/31/23 06:03,10/31/23 06:00,10/31/23 06:40,CST,367448570.0,Calcasieu
SYDNEE TAYLOR (TOW),1191691,D,1,10/31/23 04:55,10/31/23 04:54,10/31/23 05:36,CST,367149340.0,Calcasieu
UNCLE JOE (TOW 1977) 53X22,582498,D,1,10/31/23 02:10,10/31/23 01:57,10/31/23 02:22,CST,368092790.0,Calcasieu
CHARLIE C (TOW),544273,D,6,10/31/23 01:18,10/31/23 00:30,10/31/23 02:08,CST,366961220.0,Calcasieu
CSS SHENANDOAH (TOW 2019),1300154,U,3,10/31/23 00:01,10/30/23 23:17,10/31/23 01:17,CST,368122650.0,Calcasieu
MISS GENEVIEVE,1276019,D,2,10/30/23 23:12,10/30/23 22:24,10/30/23 23:58,CST,368201030.0,Calcasieu
WILSEY DUPRE (TOW 2010),1224664,U,2,10/30/23 22:05,10/30/23 21:23,10/30/23 23:11,CST,367443060.0,Calcasieu
AL CENAC,1316302,D,6,10/30/23 21:14,10/30/23 21:13,10/30/23 22:03,CST,,Calcasieu
TEE CENAC,1321259,U,1,10/30/23 20:05,10/30/23 20:04,10/30/23 20:34,CST,,Calcasieu
STEVE ALLEY,1322117,D,6,10/30/23 16:59,10/30/23 16:32,10/30/23 17:13,CST,368273690.0,Calcasieu
T H KELLY (TOW),693109,U,6,10/30/23 15:05,10/30/23 14:14,10/30/23 15:07,CST,367004910.0,Calcasieu
SARAH D (TOW),1167754,U,6,10/30/23 14:25,10/30/23 13:58,10/30/23 14:52,CST,367045970.0,Calcasieu
ST CHARLES (TOW)76X35,1230767,U,3,10/30/23 12:42,10/30/23 10:58,10/30/23 12:53,CST,367473550.0,Calcasieu
POINT ISABEL ( TOW 72X30),1200270,D,1,10/30/23 13:26,10/30/23 10:51,10/30/23 13:37,CST,368070310.0,Calcasieu
TERRY H,1252433,U,2,10/30/23 12:23,10/30/23 10:36,10/30/23 12:35,CST,367614880.0,Calcasieu
CHARLES ALFRED (TOW),561255,D,1,10/30/23 10:50,10/30/23 09:34,10/30/23 11:00,CST,366973420.0,Calcasieu
FATHER PAT (TOW 2011) 76X35,1237423,D,6,10/30/23 11:12,10/30/23 08:20,10/30/23 11:28,CST,367519320.0,Calcasieu
ADDISON FAITH,1308502,D,1,10/30/23 10:28,10/30/23 08:15,10/30/23 10:37,CST,368177590.0,Calcasieu
